operateur,region,latitude,longitude,typeMesure,timestamp,rssi,rsrp,rsrq,sinr,debitDescendant,debitMontant,latence,gigue,tauxAppelReussi,tauxDropCall,debitDownload,debitUpload,ping,dnsLookupTime,tcpConnectTime,scoreQoE,pageLoadTime,videoBuffering,campagne
CELCOM,CON,9.476098,-13.72167,MOBILE,2026-02-28T06:00:00.000Z,-95.3,-117.5,-18.6,-7.7,0,0,325.4,58.1,27.7,76.4,0.5,0,551.5,141.1,769.3,13,44.87,25.68,Drive Test Conakry 2026-Q1
CELCOM,CON,9.42895,-13.710307,MOBILE,2026-02-28T16:53:00.000Z,-99.5,-108.3,-17.3,-9.3,0,0,573.7,31.2,27.6,67.4,0.5,0,459.3,318.5,795.7,13,23.35,14.14,Drive Test Conakry 2026-Q1
CELCOM,CON,9.51162,-13.710069,MOBILE,2026-02-14T08:06:00.000Z,-91.7,-121.1,-15.7,-7.8,0,0,301.2,95.9,39.2,34.5,0.6,0,267.6,101.3,596.5,5,25.56,5.86,Drive Test Conakry 2026-Q1
CELCOM,CON,9.401628,-13.64683,MOBILE,2026-03-06T09:27:00.000Z,-100.9,-114.1,-16.7,-6.3,0,0,655.5,57.1,6.7,61.5,0.8,0,467.2,443.9,289.3,9,55.04,13.62,Drive Test Conakry 2026-Q1
CELCOM,CON,9.550129,-13.631653,MOBILE,2026-03-18T18:00:00.000Z,-99.5,-112.7,-17,-6.7,0,0,343.8,77.7,34.7,79.6,0.8,0,662.9,458.1,685.8,9,50.93,22,Drive Test Conakry 2026-Q1
CELCOM,CON,9.455107,-13.805088,INTERNET,2026-02-11T13:39:00.000Z,-96.7,-121.8,-19.3,-6.5,0,0,466.3,31.1,39.1,34.2,0.3,0,342,485.9,301.1,7,14.13,25.78,Drive Test Conakry 2026-Q1
CELCOM,CON,9.508898,-13.709931,INTERNET,2026-02-13T11:37:00.000Z,-90.4,-106.8,-10.7,9.2,,,72.4,2.3,,,28.1,10,76.3,37.3,89.5,60,4.84,2.99,Drive Test Conakry 2026-Q1
CELCOM,CON,9.463773,-13.744493,MOBILE,2026-02-14T19:29:00.000Z,-76.8,-91.7,-12.9,6.7,18.6,5.8,83.2,11.6,77.2,26.6,,,,,,46,1.58,1.32,Drive Test Conakry 2026-Q1
CELCOM,CON,9.586188,-13.729208,INTERNET,2026-01-19T20:13:00.000Z,-99,-110.1,-12.1,14.8,,,75.7,13,,,18.8,11.7,67.4,12.3,50,58,3.86,0.68,Drive Test Conakry 2026-Q1
CELCOM,CON,9.51833,-13.70817,INTERNET,2026-03-20T10:46:00.000Z,-82.6,-109.3,-11.1,4.1,,,65.9,9.5,,,18.6,6.8,64.3,46.5,84.3,57,4.51,0.31,Drive Test Conakry 2026-Q1
CELCOM,CYA,9.816599,-13.353208,MOBILE,2026-01-12T22:15:00.000Z,-68.4,-83.2,-11.5,12.4,5.1,7.4,80.8,2.6,64.5,37.1,,,,,,34,6.18,1.59,Drive Test Coyah 2026-Q1
CELCOM,CYA,9.467734,-13.456526,INTERNET,2026-02-12T09:22:00.000Z,-73.1,-81.4,-8.5,15.5,,,80.9,13.2,,,17.8,8.6,74.6,20.8,112.8,49,1.82,1.69,Drive Test Coyah 2026-Q1
CELCOM,CYA,9.80469,-13.414099,MOBILE,2026-02-17T18:36:00.000Z,-90.3,-110.8,-17.2,-0.8,0,0,415.1,64.4,16.3,50.7,0.1,0,298.2,481.6,535.2,13,47.01,26.82,Drive Test Coyah 2026-Q1
CELCOM,CYA,9.668324,-13.382181,MOBILE,2026-03-22T22:32:00.000Z,-62,-66.5,-9.6,11.8,9.5,4.3,114.5,10.1,59.5,40.1,,,,,,31,4.78,0.78,Drive Test Coyah 2026-Q1
