operateur,region,latitude,longitude,typeMesure,timestamp,rssi,rsrp,rsrq,sinr,debitDescendant,debitMontant,latence,gigue,tauxAppelReussi,tauxDropCall,debitDownload,debitUpload,ping,dnsLookupTime,tcpConnectTime,scoreQoE,pageLoadTime,videoBuffering,campagne
MTN,CON,9.420276,-13.636235,MOBILE,2026-02-18T21:38:00.000Z,-81.6,-109.6,-12.2,17.4,17.4,12.6,48.9,14.8,100,0,,,,,,82,4.11,0.94,Drive Test Conakry 2026-Q1
MTN,CON,9.51464,-13.688771,INTERNET,2026-03-28T07:13:00.000Z,-86.1,-110.8,-7.9,11.5,,,36.6,11.4,,,48.3,16.9,38,10.1,81.3,80,3.04,0.91,Drive Test Conakry 2026-Q1
MTN,CON,9.537332,-13.643656,MOBILE,2026-03-19T22:44:00.000Z,-71.8,-81.3,-9.3,4.4,27,7.6,53.8,9.3,85.6,16.2,,,,,,70,4.86,2.69,Drive Test Conakry 2026-Q1
MTN,CON,9.443807,-13.625925,MOBILE,2026-03-28T14:41:00.000Z,-87.3,-112.6,-16.4,-0.7,0,0,260.5,51.6,37.2,42.9,0.2,0,572.1,278.5,250.7,8,44.46,8.5,Drive Test Conakry 2026-Q1
MTN,CON,9.408362,-13.718978,MOBILE,2026-01-05T13:49:00.000Z,-87.7,-119.2,-11,5.2,26.2,9.8,49.8,14.1,100,0,,,,,,96,3.5,0.59,Drive Test Conakry 2026-Q1
MTN,CON,9.502656,-13.711155,INTERNET,2026-03-05T15:45:00.000Z,-82.9,-107.5,-15.6,-3,0,0,131.8,36.2,10,33.1,0.9,0,564.6,146.5,321.1,18,18,17.39,Drive Test Conakry 2026-Q1
MTN,CON,9.413694,-13.72116,INTERNET,2026-02-19T21:19:00.000Z,-59.1,-88.4,-11.9,13.8,,,40.2,9.4,,,37.4,11.5,55.6,12.8,41.8,72,4.82,0.47,Drive Test Conakry 2026-Q1
MTN,CON,9.457406,-13.626591,MOBILE,2026-02-10T17:36:00.000Z,-71.4,-77.3,-10.7,12.5,24.6,5.3,48.2,12.2,80.3,19.6,,,,,,71,2.27,1.16,Drive Test Conakry 2026-Q1
MTN,CON,9.538449,-13.794699,INTERNET,2026-03-21T17:10:00.000Z,-76.2,-92.7,-12.4,8.3,,,39,11.4,,,40.5,12.1,43.6,12,74.8,60,5.39,0.56,Drive Test Conakry 2026-Q1
MTN,CON,9.467064,-13.711341,INTERNET,2026-02-13T10:45:00.000Z,-72.4,-93.2,-7.7,15.5,,,52.4,7.3,,,44.3,12.6,41.1,39.4,59.1,68,2.77,1.58,Drive Test Conakry 2026-Q1
