operateur,region,latitude,longitude,typeMesure,timestamp,rssi,rsrp,rsrq,sinr,debitDescendant,debitMontant,latence,gigue,tauxAppelReussi,tauxDropCall,debitDownload,debitUpload,ping,dnsLookupTime,tcpConnectTime,scoreQoE,pageLoadTime,videoBuffering,campagne
ORANGE,CON,9.572068,-13.826531,INTERNET,2026-03-18T20:56:00.000Z,-81,-103.8,-8.2,17.9,,,42.7,5.4,,,48.9,19.7,24.3,29.2,89.8,100,1.54,1.62,Drive Test Conakry 2026-Q1
ORANGE,CON,9.441985,-13.789059,INTERNET,2026-01-16T06:44:00.000Z,-76.5,-102.9,-19.8,-5.9,0,0,381.7,99,12.9,31.9,0.5,0,562.4,143.6,733.6,5,19.93,21.35,Drive Test Conakry 2026-Q1
ORANGE,CON,9.566962,-13.718702,INTERNET,2026-01-06T18:29:00.000Z,-74.2,-102.4,-12.7,16.7,,,40.9,6,,,48.1,19.7,40.3,51,49.6,97,2.88,0.24,Drive Test Conakry 2026-Q1
ORANGE,CON,9.525045,-13.738156,MOBILE,2026-03-26T20:29:00.000Z,-61.9,-86,-9.3,16.4,28.2,15,33.5,5.2,87.4,9,,,,,,77,4.75,2.25,Drive Test Conakry 2026-Q1
ORANGE,CON,9.477704,-13.729793,MOBILE,2026-03-06T06:07:00.000Z,-82.1,-92.8,-13.9,14.9,33.1,16.8,29.1,5.2,100,0,,,,,,90,1.13,1.97,Drive Test Conakry 2026-Q1
ORANGE,CON,9.615001,-13.645416,MOBILE,2026-02-10T08:49:00.000Z,-80.5,-96.4,-11.1,14.2,35.9,12.5,29.4,5.3,100,0,,,,,,86,2.99,2.34,Drive Test Conakry 2026-Q1
ORANGE,CON,9.552548,-13.717013,MOBILE,2026-02-21T08:19:00.000Z,-76.2,-102,-12,18.1,32.6,14.2,43.8,7.3,100,0,,,,,,98,3.05,2.49,Drive Test Conakry 2026-Q1
ORANGE,CON,9.614263,-13.746521,INTERNET,2026-03-27T09:05:00.000Z,-60.1,-80.9,-9,6.7,,,41.7,5.1,,,39,19.4,34.1,61.7,131.6,75,3.68,2.68,Drive Test Conakry 2026-Q1
ORANGE,CON,9.51538,-13.720388,MOBILE,2026-02-05T22:37:00.000Z,-63.3,-68.5,-12,3.2,24,12.1,50.1,6.5,77.3,18.6,,,,,,73,5.78,0.99,Drive Test Conakry 2026-Q1
ORANGE,CON,9.47608,-13.730864,INTERNET,2026-01-11T09:03:00.000Z,-71.7,-92.2,-8.9,9.8,,,22.8,2.7,,,45.1,21.2,37.6,13.3,52.8,76,3.82,0.68,Drive Test Conakry 2026-Q1
ORANGE,CYA,9.53757,-13.214354,MOBILE,2026-03-28T22:30:00.000Z,-47.8,-63.6,-8,10.5,20.4,9.4,40.8,12.3,67.6,37.2,,,,,,50,4.01,4.28,Drive Test Coyah 2026-Q1
ORANGE,CYA,9.936473,-13.33772,MOBILE,2026-02-21T19:21:00.000Z,-66,-86.8,-9.5,13.4,32.4,10.2,53.9,2.9,86.7,12.9,,,,,,70,3.02,2.43,Drive Test Coyah 2026-Q1
ORANGE,CYA,9.871419,-13.399672,MOBILE,2026-01-20T21:57:00.000Z,-51.3,-58.8,-8.7,1.5,19.9,12.7,53.7,7.8,69.3,35.1,,,,,,48,6.83,2.45,Drive Test Coyah 2026-Q1
ORANGE,CYA,9.849375,-13.381799,MOBILE,2026-03-09T17:57:00.000Z,-46.1,-67.4,-7.3,15.4,22.5,10.8,47.3,4.3,67.3,30.9,,,,,,51,4.21,0.05,Drive Test Coyah 2026-Q1
ORANGE,CYA,9.726704,-13.425454,MOBILE,2026-03-18T17:09:00.000Z,-60.5,-88.6,-10.5,17.3,35,13.9,30.8,11.4,92.9,7.9,,,,,,76,4.3,0.23,Drive Test Coyah 2026-Q1
ORANGE,KIN,10.032241,-12.859703,MOBILE,2026-01-03T18:12:00.000Z,-75.7,-104,-16.1,-0.7,0,0,118.3,70.2,6.2,55.8,0.7,0,103.3,426.5,439,17,44.23,11.58,Drive Test Kindia 2026-Q1
ORANGE,KIN,9.913046,-13.050734,INTERNET,2026-03-18T22:16:00.000Z,-86.6,-93.4,-16.4,-2.5,0,0,108.2,32.3,5.5,37.1,0.8,0,318.2,465.4,583.6,12,46.72,15.12,Drive Test Kindia 2026-Q1
ORANGE,KIN,9.962149,-12.783116,MOBILE,2026-02-22T22:37:00.000Z,-80.4,-97.6,-16.2,-9.1,0,0,417.3,53.9,21.3,36,0.8,0,432.9,223,408.2,16,44.74,15.7,Drive Test Kindia 2026-Q1
ORANGE,KIN,9.838666,-12.813929,INTERNET,2026-01-13T20:31:00.000Z,-59.7,-72.5,-11.8,10.2,,,50.5,11.8,,,32.1,14.6,43.9,50.1,115,55,3.51,1.45,Drive Test Kindia 2026-Q1
ORANGE,KIN,10.262197,-12.701997,MOBILE,2026-02-21T20:57:00.000Z,-81.8,-106.2,-19.3,-7.1,0,0,487.9,24.6,10.4,32.1,0.4,0,220.7,328.7,460.7,16,13.57,8.78,Drive Test Kindia 2026-Q1
ORANGE,BKE,11.579049,-14.439041,INTERNET,2026-02-25T07:17:00.000Z,-48.1,-66.8,-12.3,10.4,,,62.6,2.8,,,37.9,15,49.9,26.7,118.4,52,1.53,0.9,Drive Test Boké 2026-Q1
ORANGE,BKE,11.181207,-14.283834,MOBILE,2026-03-05T10:02:00.000Z,-52.5,-66.4,-9.7,8,27.4,12.3,55.9,5.4,69.6,32.2,,,,,,65,4.67,2.2,Drive Test Boké 2026-Q1
ORANGE,BKE,11.260609,-14.386557,MOBILE,2026-01-16T10:09:00.000Z,-85.7,-105,-17.1,-0.2,0,0,513.2,63.5,36.2,58.1,0.9,0,231.4,347.1,266.7,16,11.46,10.85,Drive Test Boké 2026-Q1
ORANGE,BKE,11.321425,-14.575375,MOBILE,2026-03-07T13:19:00.000Z,-53.9,-64.2,-11.7,10.6,20.8,6.9,58.6,6.9,62.1,41.2,,,,,,53,2.28,3.28,Drive Test Boké 2026-Q1
ORANGE,BKE,11.256588,-13.970827,MOBILE,2026-03-02T13:26:00.000Z,-85.4,-99.4,-15.5,-3.1,0,0,292.9,49,26.7,68.2,0.7,0,444.8,473.7,356.9,6,29.15,8.46,Drive Test Boké 2026-Q1
ORANGE,KDR,12.085128,-13.063239,INTERNET,2026-02-27T20:12:00.000Z,-76.8,-105.6,-16.1,-1.8,0,0,584.7,56.1,38.3,59.1,0.8,0,366,429.5,305.6,20,18.1,28.88,Drive Test Koundara 2026-Q1
ORANGE,KDR,11.968539,-13.122608,MOBILE,2026-01-17T16:13:00.000Z,-49.9,-52.3,-10.6,7.4,13.3,5.3,64.2,4.9,57.3,42.7,,,,,,57,3.33,3.27,Drive Test Koundara 2026-Q1
ORANGE,KDR,12.495727,-13.310493,MOBILE,2026-01-17T22:24:00.000Z,-54.1,-57.6,-13.7,15.2,19,9.1,58.3,9.1,67.2,36.4,,,,,,57,6.44,2.98,Drive Test Koundara 2026-Q1
ORANGE,KDR,12.104854,-12.923143,INTERNET,2026-02-09T17:00:00.000Z,-53.4,-63.9,-10.2,13.4,,,46.3,12.5,,,31.8,17.1,58.7,19.5,143.3,51,5.78,1.47,Drive Test Koundara 2026-Q1
ORANGE,KDR,12.773478,-13.3148,MOBILE,2026-03-26T14:05:00.000Z,-84,-102.7,-19.7,-9.5,0,0,569.2,95.4,21.6,67.8,0.8,0,163.3,471.4,785.6,17,12.95,22.22,Drive Test Koundara 2026-Q1
ORANGE,LBE,11.229277,-12.511755,INTERNET,2026-02-10T21:49:00.000Z,-58.4,-79.3,-9.6,3.5,,,31.6,2.6,,,50.7,17.2,41.3,62.3,45.9,73,2.6,2.77,Drive Test Labé 2026-Q1
ORANGE,LBE,11.462869,-12.134829,MOBILE,2026-03-28T13:54:00.000Z,-82.7,-100.2,-16.1,-4.7,0,0,384.3,64.4,24.2,67.7,0.3,0,368.4,317.8,666,8,39.75,27.15,Drive Test Labé 2026-Q1
ORANGE,LBE,11.398492,-12.274053,INTERNET,2026-02-26T21:17:00.000Z,-57.8,-71.2,-12.3,2.2,,,57.5,7.7,,,35.7,16,52.9,72.7,99.4,62,1.24,3.27,Drive Test Labé 2026-Q1
ORANGE,LBE,11.186419,-12.375664,MOBILE,2026-03-05T21:22:00.000Z,-61.8,-71,-10.4,16.6,21.4,9.9,48.8,9.7,85.3,14.8,,,,,,79,4.83,0.48,Drive Test Labé 2026-Q1
ORANGE,LBE,11.175758,-12.325089,MOBILE,2026-01-27T07:48:00.000Z,-54.2,-59.9,-8.4,4.2,26.8,9.7,64.5,8,61,39,,,,,,63,2.48,1.86,Drive Test Labé 2026-Q1
ORANGE,MLI,11.793258,-11.885679,INTERNET,2026-02-15T16:23:00.000Z,-51.4,-54.8,-9.1,11.2,,,58,4.7,,,28.2,12.1,52.8,35.5,136.2,64,4.68,1.61,Drive Test Mali 2026-Q1
ORANGE,MLI,12.114488,-12.328204,INTERNET,2026-01-22T16:47:00.000Z,-75.7,-100,-19.8,-3.7,0,0,205.1,24.8,15.2,32.4,0,0,397.1,323,625.1,18,41.46,7.5,Drive Test Mali 2026-Q1
ORANGE,MLI,12.22303,-12.036904,MOBILE,2026-01-04T20:12:00.000Z,-46.3,-51.2,-10.8,7.4,16.4,6,59.8,2,61.1,44.6,,,,,,58,7.85,1.79,Drive Test Mali 2026-Q1
ORANGE,MLI,12.195873,-12.434391,INTERNET,2026-02-22T17:45:00.000Z,-46.9,-57.7,-12.4,6.9,,,49,10.3,,,42.5,14,45.8,66.2,170.1,59,4.62,1.99,Drive Test Mali 2026-Q1
ORANGE,MLI,11.710464,-11.914901,MOBILE,2026-03-11T09:38:00.000Z,-79.4,-97.3,-18.8,-0.4,0,0,335.4,31.2,20.7,38.9,0.6,0,354.6,329.6,229.1,8,36.43,7.15,Drive Test Mali 2026-Q1
ORANGE,DLB,10.712841,-12.22882,INTERNET,2026-01-06T16:11:00.000Z,-85,-98.9,-15.5,-9.5,0,0,258.6,45,3.5,50.7,0.1,0,381.1,185.4,792.2,0,49.15,12.42,Drive Test Dalaba 2026-Q1
ORANGE,DLB,10.776042,-12.254397,MOBILE,2026-01-04T06:43:00.000Z,-50.4,-59.9,-10,14.6,23.4,10.1,49.8,9.1,62.3,34,,,,,,45,2.39,2.92,Drive Test Dalaba 2026-Q1
ORANGE,DLB,10.915319,-12.177084,INTERNET,2026-03-08T19:29:00.000Z,-51.1,-70.8,-10.5,9.3,,,56.5,6.4,,,25.9,12.6,54,17.3,113.2,68,2.19,0.21,Drive Test Dalaba 2026-Q1
