regionCode,latitude,longitude,typeMesure,timestamp,rssi,rsrp,rsrq,sinr,debitDescendant,debitMontant,latence,gigue,tauxAppelReussi,tauxDropCall,debitDownload,debitUpload,ping,dnsLookupTime,tcpConnectTime,scoreQoE,pageLoadTime,videoBuffering
CON,9.523936,-13.706531,MOBILE,2026-01-11T06:04:00.000Z,-94.5,-114,-16,-3.6,,,371.2,31.6,30.7,36.9,,,,,,3,54.2,28.5
CON,9.531089,-13.666906,MOBILE,2026-03-13T13:11:00.000Z,-71.6,-88.2,-10.1,5.6,19.8,3.8,69.8,6.7,75.9,26.9,,,,,,57,5.26,1.19
CON,9.51139,-13.786893,INTERNET,2026-03-10T11:48:00.000Z,-81.2,-103.7,-13.2,4.2,,,85,4,,,27.7,6.2,75.6,20.4,55.5,65,1.19,1.12
CON,9.445273,-13.680246,INTERNET,2026-03-28T16:19:00.000Z,-87.5,-106.4,-11.2,8.8,,,84.4,14.3,,,21.4,4.6,80.2,11.5,47.1,55,4.35,2.65
CON,9.564349,-13.722428,MOBILE,2026-03-26T12:49:00.000Z,-95.3,-110.7,-12.3,5.4,14.2,3.9,75.9,5.9,99.9,2.2,,,,,,61,3.74,1.93
CON,9.591019,-13.728016,INTERNET,2026-03-23T06:27:00.000Z,-91,-115.3,-18.2,-2.4,,,355.7,89.4,3.2,44,,,,,,7,49.52,6.09
CON,9.563336,-13.619516,MOBILE,2026-02-22T14:56:00.000Z,-100.2,-110.9,-17.2,-5.6,,,554.6,96.5,17.6,58,,,,,,16,48.01,25.49
CON,9.61109,-13.652025,MOBILE,2026-03-14T20:43:00.000Z,-95.7,-118.3,-7.8,7.5,23,9.8,48.8,11.5,96.5,1.4,,,,,,65,1.95,1.32
CON,9.638713,-13.746425,MOBILE,2026-03-24T18:28:00.000Z,-80.1,-114.1,-8.7,16.5,20.5,5.5,77.5,6.7,90.5,9.5,,,,,,55,1.89,2.41
CON,9.466401,-13.727966,MOBILE,2026-02-04T16:24:00.000Z,-65.8,-92.6,-7.2,3.2,13,7.3,88.1,6.9,74.7,27.5,,,,,,45,3.82,2.13
CYA,9.864758,-13.427328,MOBILE,2026-01-25T07:48:00.000Z,-77.8,-105.7,-10.4,9.7,8.9,9.5,71.5,9,86.3,19,,,,,,54,1.06,2.52
CYA,9.517343,-13.38415,INTERNET,2026-01-06T20:36:00.000Z,-58.8,-82.1,-9.9,12.6,,,85.6,13.6,,,12.1,8.3,82.2,53.2,76.4,43,3.61,2.37
