regionCode,latitude,longitude,typeMesure,timestamp,rssi,rsrp,rsrq,sinr,debitDescendant,debitMontant,latence,gigue,tauxAppelReussi,tauxDropCall,debitDownload,debitUpload,ping,dnsLookupTime,tcpConnectTime,scoreQoE,pageLoadTime,videoBuffering
CON,9.460889,-13.824887,MOBILE,2026-02-09T11:00:00.000Z,-107.2,-118,-19.5,-4.6,,,441.5,24.4,21.9,63.8,,,,,,17,49.59,14.3
CON,9.550566,-13.781069,MOBILE,2026-02-03T09:59:00.000Z,-99.7,-128.4,-16.8,-9.4,,,409.9,57.1,1.6,59.1,,,,,,16,29.51,25.96
CON,9.389086,-13.678556,INTERNET,2026-03-22T22:23:00.000Z,-107.9,-130.5,-9.1,14.4,,,104.7,11.1,,,21.9,2.6,97.2,39.4,30.7,44,0.88,1.12
CON,9.594608,-13.699649,MOBILE,2026-01-12T18:36:00.000Z,-103.3,-123.1,-19.4,-1.9,,,434.7,36.2,19.6,36.4,,,,,,15,30.62,11.05
CON,9.557524,-13.754043,MOBILE,2026-01-26T17:07:00.000Z,-98.2,-120.3,-17.3,-8.9,,,783.9,64.7,20.1,31,,,,,,6,10.45,7.4
CON,9.430951,-13.738548,MOBILE,2026-02-17T10:50:00.000Z,-108.3,-125.3,-8.1,16.7,6.2,4.8,101.9,3.1,98.5,3.1,,,,,,51,1.1,1.52
CON,9.547543,-13.700021,MOBILE,2026-03-09T09:58:00.000Z,-99.6,-115.9,-16.3,-5.7,,,789.6,75.7,38.8,67.8,,,,,,11,55.81,11.58
CON,9.486263,-13.706785,MOBILE,2026-01-01T10:52:00.000Z,-102.1,-131.1,-10.1,11.5,4.8,3.6,113.1,9.5,93.9,6.6,,,,,,53,1.08,2.34
CON,9.51339,-13.717365,MOBILE,2026-01-21T19:21:00.000Z,-106,-135.4,-10,6.6,8.1,0.9,90,8.8,90.6,7.9,,,,,,38,0.98,1.17
CON,9.514388,-13.698704,MOBILE,2026-01-03T12:59:00.000Z,-98,-115.6,-12.1,8.1,5.8,0,112.2,2.1,87.6,11.7,,,,,,48,4.38,1.7
CYA,9.716835,-13.299219,INTERNET,2026-01-21T13:29:00.000Z,-105.9,-115.2,-16.8,-9.6,,,574.6,30.5,7.4,37.2,,,,,,12,42.72,18.57
CYA,9.651647,-13.485335,INTERNET,2026-02-06T12:58:00.000Z,-54.6,-68,-7.7,10.8,,,160.3,7.7,,,13.6,0.1,168.2,75.7,143.6,33,7.11,1.58
CYA,9.877025,-13.229058,INTERNET,2026-01-15T08:13:00.000Z,-106.2,-117.6,-19.6,-9.7,,,445.9,43.2,12.4,72.2,,,,,,5,41.82,12.11
CYA,9.824431,-13.312883,INTERNET,2026-02-12T17:06:00.000Z,-101.9,-120.1,-17.5,-1.2,,,461.3,87.5,1.9,71.4,,,,,,6,26.22,27.36
CYA,9.690593,-13.345425,MOBILE,2026-03-07T06:41:00.000Z,-107.3,-122.6,-17,-9.6,,,727.4,67.7,2.2,43.8,,,,,,4,29.71,19.1
KIN,10.056671,-12.859986,INTERNET,2026-01-27T22:16:00.000Z,-96.7,-121.7,-19.1,-6.8,,,664.8,40.5,22.3,42.6,,,,,,16,56.11,10.5
KIN,10.183992,-12.624418,INTERNET,2026-03-22T09:31:00.000Z,-95.4,-116,-18.3,-9.8,,,340.2,41.5,30.7,65.7,,,,,,15,37.29,14.28
KIN,9.931206,-12.883935,MOBILE,2026-02-01T09:45:00.000Z,-81.5,-109.9,-11,16.1,0,5.6,132.7,5.1,75.7,27.5,,,,,,41,4.12,0.54
KIN,10.116177,-12.769105,INTERNET,2026-03-09T17:49:00.000Z,-77.6,-94.1,-9.1,11.1,,,142.1,11.1,,,5.7,1.1,150.1,33.2,134.3,42,1.66,1.87
KIN,10.169766,-12.729394,MOBILE,2026-02-03T18:08:00.000Z,-59.2,-76.1,-13,4.5,3.9,2.6,171.8,7,57.8,44.6,,,,,,28,5.41,3.75
BKE,11.031857,-14.312747,INTERNET,2026-03-04T21:47:00.000Z,-109.3,-126.2,-15.2,-5.2,,,372.2,72.7,24.6,63.6,,,,,,12,32.73,7.71
BKE,11.174579,-14.091843,INTERNET,2026-02-22T06:48:00.000Z,-100.5,-118.1,-17,0,,,477,68.2,40,50.3,,,,,,8,46.38,10.71
BKE,10.874352,-14.104533,INTERNET,2026-01-07T09:29:00.000Z,-97,-118,-15.1,-1.5,,,699.5,73.8,22.5,34.3,,,,,,9,51.31,12.59
BKE,10.876759,-14.538656,MOBILE,2026-03-28T13:30:00.000Z,-95.1,-126.4,-16,-2.1,,,754.4,49.7,22.6,78.7,,,,,,2,19.37,24.35
BKE,11.333339,-14.283594,MOBILE,2026-03-19T08:43:00.000Z,-103.7,-115.7,-16.1,-6.7,,,552.1,86.6,31,73.3,,,,,,10,52.53,27.1
KDR,12.561959,-13.199797,MOBILE,2026-01-13T13:38:00.000Z,-104.8,-120.2,-18.9,-3.7,,,336.3,58.6,4.4,64.3,,,,,,2,25.01,25.11
KDR,12.160823,-13.541927,INTERNET,2026-02-08T19:38:00.000Z,-98.2,-122.2,-19.4,-3.4,,,435.2,25.2,14.4,57.1,,,,,,2,57.52,15.23
KDR,12.401307,-13.016027,MOBILE,2026-02-16T10:00:00.000Z,-96.2,-117.6,-15.3,-1,,,651.6,55.8,4.2,72.6,,,,,,3,54.91,25.98
KDR,12.35005,-13.154725,INTERNET,2026-01-17T12:35:00.000Z,-30,-44,-11.7,10.5,,,814.8,9.3,,,0,0.8,813.9,334.1,659.1,0,33,18.07
KDR,12.362769,-13.169419,MOBILE,2026-01-26T18:43:00.000Z,-108.5,-122.6,-18.7,-1.1,,,663.4,69.7,18.7,45.1,,,,,,5,15.14,12.1
LBE,11.341328,-12.282,INTERNET,2026-01-18T17:59:00.000Z,-98.3,-116.1,-19.1,-3.9,,,648.4,59.7,32.7,78.6,,,,,,16,26.24,28.22
LBE,11.367024,-12.341854,INTERNET,2026-02-10T18:10:00.000Z,-109.2,-128.5,-17,-7,,,703.8,21.1,30.8,58.1,,,,,,18,12.9,7.63
LBE,11.430704,-12.43834,MOBILE,2026-03-09T10:51:00.000Z,-104.8,-119.1,-15.6,0,,,350,43.7,7.4,56.1,,,,,,11,50.31,28.04
LBE,11.241825,-12.275523,INTERNET,2026-01-25T09:04:00.000Z,-54.2,-77.4,-12.6,1.2,,,187.6,11.1,,,3.9,1.5,181.9,63.5,135.6,17,3.66,1.27
LBE,11.3681,-12.432052,MOBILE,2026-01-25T06:23:00.000Z,-74.8,-82.4,-10.2,12.4,7.1,1,135.7,4.5,63.7,37.7,,,,,,38,5.66,0.96
MLI,12.061911,-12.468288,MOBILE,2026-02-05T07:31:00.000Z,-99.7,-128.6,-18.3,-3.3,,,497.4,52.3,34.7,50.4,,,,,,3,55.7,16.35
MLI,11.97611,-12.037282,MOBILE,2026-03-27T10:11:00.000Z,-107,-129.6,-15.9,-8.9,,,485.6,30.7,15.3,70.5,,,,,,5,45.29,22.37
MLI,11.953614,-12.192193,MOBILE,2026-03-28T09:28:00.000Z,-103.8,-123.2,-16.5,-6.1,,,579.9,41.3,39.9,61.5,,,,,,8,29.1,27.28
MLI,12.324073,-12.337911,MOBILE,2026-03-23T14:25:00.000Z,-102.9,-128.6,-19.5,-4.8,,,705.4,81.6,1.5,62.1,,,,,,10,59.01,22.2
MLI,12.256411,-11.797629,INTERNET,2026-03-12T16:57:00.000Z,-107.9,-115.4,-17,-7.4,,,451.1,72.6,22,53.7,,,,,,10,23.14,7.23
DLB,10.54204,-12.137085,INTERNET,2026-03-28T07:35:00.000Z,-103.4,-120.6,-17.5,-1.9,,,690.6,65.2,10.4,55.3,,,,,,7,27.97,24.04
DLB,10.988069,-11.957795,INTERNET,2026-03-17T06:13:00.000Z,-101,-119.1,-19.6,-1.4,,,498.1,66.3,31.3,33.5,,,,,,2,23.61,21.93
DLB,10.725324,-12.279869,INTERNET,2026-03-17T20:52:00.000Z,-97.3,-119.8,-18.9,-0.4,,,712.8,23,37.6,64.1,,,,,,11,10.76,11.51
DLB,10.915677,-12.383329,INTERNET,2026-01-13T10:43:00.000Z,-102.8,-122.4,-19.9,-1,,,802.1,37.1,39.1,49.3,,,,,,13,37.05,11.08
DLB,10.321101,-12.356366,MOBILE,2026-02-23T13:55:00.000Z,-99.3,-118.3,-18.6,-3.9,,,471.2,74.8,6.6,46.1,,,,,,5,36.3,17.93
MMU,10.358826,-11.872441,MOBILE,2026-02-25T12:32:00.000Z,-63.2,-83.2,-11.9,12,4.6,5.4,151.8,8.6,58.7,44.2,,,,,,27,3.66,3.45
MMU,10.52799,-12.070704,MOBILE,2026-03-13T13:42:00.000Z,-107.6,-117.1,-19.9,-1.6,,,387.5,41.7,19.5,56.4,,,,,,16,18.51,24.48
MMU,10.426743,-12.075046,MOBILE,2026-02-07T12:03:00.000Z,-85.1,-98.7,-8.6,7,0.3,4.9,117.9,2.5,74.6,22.5,,,,,,42,1.81,2.81
MMU,10.496899,-12.097085,INTERNET,2026-03-13T14:21:00.000Z,-108.9,-117,-17.4,-3.3,,,363.9,87.8,26.1,38.7,,,,,,20,47.88,6.78
MMU,10.433999,-12.125957,MOBILE,2026-02-09T10:20:00.000Z,-96.7,-121.9,-16.3,-4.6,,,813.1,37.7,19.9,30.2,,,,,,15,33.76,25.03
FRN,10.031005,-10.726134,MOBILE,2026-01-15T19:20:00.000Z,-107.6,-123.7,-18,-0.4,,,522.7,92.4,11.3,49,,,,,,1,12.74,12.84
FRN,9.621434,-10.803531,MOBILE,2026-02-01T16:02:00.000Z,-97.8,-117.7,-18.9,-0.6,,,687.2,57.7,24.4,72.5,,,,,,0,21.44,5.1
FRN,10.058386,-10.992937,INTERNET,2026-01-13T18:51:00.000Z,-105.3,-119.9,-17.5,-0.3,,,594.1,66.6,34.1,46.3,,,,,,6,24.3,27.12
FRN,10.084358,-10.641679,INTERNET,2026-03-12T07:31:00.000Z,-30,-44,-14.2,11.2,,,726.4,12.8,,,0,0,742,69.3,609.6,0,25.71,1.53
FRN,10.124268,-10.599409,INTERNET,2026-03-11T16:12:00.000Z,-99,-127.4,-16,-9.9,,,571.7,45.4,23.1,54.5,,,,,,16,44.12,17.33
