regionCode,latitude,longitude,typeMesure,timestamp,rssi,rsrp,rsrq,sinr,debitDescendant,debitMontant,latence,gigue,tauxAppelReussi,tauxDropCall,debitDownload,debitUpload,ping,dnsLookupTime,tcpConnectTime,scoreQoE,pageLoadTime,videoBuffering
CON,9.589048,-13.783181,MOBILE,2026-02-22T08:24:00.000Z,-71.5,-96.3,-7.3,4.5,17.9,8.9,44.7,14.4,92.5,4.4,,,,,,66,4.42,2.93
CON,9.580309,-13.814664,INTERNET,2026-02-08T14:30:00.000Z,-91.3,-107.1,-19.2,-4.8,,,617.4,89.2,20.5,67.1,,,,,,17,38.7,29.95
CON,9.591957,-13.766381,MOBILE,2026-01-27T11:57:00.000Z,-78.5,-88.6,-12.6,8.1,20,10.3,45.3,6.7,91.5,10.7,,,,,,70,2.39,1.5
CON,9.550645,-13.638334,MOBILE,2026-01-03T07:34:00.000Z,-87.7,-110.2,-10.7,14.1,27.7,7.8,37,7.7,100,0,,,,,,92,3.82,1.61
CON,9.626923,-13.741397,INTERNET,2026-02-27T14:45:00.000Z,-82.4,-111.7,-18,-9.8,,,380.9,71.4,34.4,52.5,,,,,,18,39.72,11.02
CON,9.48599,-13.597638,MOBILE,2026-01-23T20:32:00.000Z,-92.6,-100.5,-17.2,-5,,,518.8,69.9,14.3,31.3,,,,,,10,19.74,19.94
CON,9.484083,-13.754304,INTERNET,2026-01-07T16:29:00.000Z,-92,-104.1,-8.6,18,,,40.5,14.5,,,39.2,14.7,50.3,35,35.4,75,2.27,0.03
CON,9.495036,-13.794805,INTERNET,2026-01-02T21:48:00.000Z,-79.7,-99.3,-9,13.5,,,54.9,4.3,,,41.8,16.9,51.2,47.8,85.5,69,3.87,1.31
CON,9.511577,-13.843568,MOBILE,2026-01-16T07:57:00.000Z,-85.4,-98.4,-10.2,4,20.8,9,56.9,12.9,97.5,1.2,,,,,,78,4.24,2.12
CON,9.409373,-13.794261,INTERNET,2026-02-22T12:17:00.000Z,-87.1,-109.9,-7.1,8.1,,,26.5,8.9,,,36.9,12,37.9,24.4,45.6,83,1.48,1.06
CYA,9.69021,-13.509329,MOBILE,2026-01-09T17:24:00.000Z,-70.9,-89.1,-8.1,5.2,18.8,6.2,52.8,10.2,81.7,18.8,,,,,,65,4.16,3.16
CYA,9.749603,-13.395286,MOBILE,2026-03-03T09:16:00.000Z,-88.8,-107.9,-16.9,-9.5,,,348.1,59.1,36.9,79,,,,,,13,38.66,28.16
CYA,9.632529,-13.22965,MOBILE,2026-02-22T11:06:00.000Z,-62,-89,-10.6,8.3,19.2,11,52.3,5.9,82.8,23.3,,,,,,62,1.64,0.48
CYA,9.821191,-13.525198,INTERNET,2026-02-10T06:57:00.000Z,-56.5,-73.8,-12.2,11.4,,,54,11.4,,,33.4,10.4,51.5,27.7,140.5,52,3,0.9
CYA,9.684213,-13.402712,MOBILE,2026-01-12T18:43:00.000Z,-79.6,-101.1,-16.4,-9.6,,,262.2,51.8,35.8,32.1,,,,,,9,37.15,17.43
KIN,10.192477,-13.003956,INTERNET,2026-02-10T15:50:00.000Z,-61.7,-68.3,-9.7,11,,,60.4,6.9,,,18.9,12.3,62.6,73,59.8,58,5.73,2.29
KIN,10.043811,-12.818005,MOBILE,2026-02-01T18:47:00.000Z,-53.2,-69.1,-12.7,6.8,18.8,7.5,65.4,12.8,64.8,35.6,,,,,,46,3.24,4.12
KIN,10.052711,-12.82639,MOBILE,2026-01-08T07:48:00.000Z,-65.7,-77.2,-10.5,15.8,15.5,5.6,41.6,8.8,80,22.4,,,,,,70,5.77,1.95
KIN,9.915952,-12.956024,MOBILE,2026-02-20T14:44:00.000Z,-63.8,-75.6,-9.7,15.5,23.7,4.8,62.3,12.2,71.7,32,,,,,,62,5.32,0.13
KIN,10.072512,-13.087841,INTERNET,2026-02-11T10:45:00.000Z,-88.4,-102.2,-19.7,-8,,,525.1,60.3,3.8,53.8,,,,,,10,52.73,8.49
BKE,11.492168,-13.999929,INTERNET,2026-01-07T18:40:00.000Z,-48.8,-66.1,-14.5,14.9,,,60.3,14.4,,,32,7.3,69.5,86.4,136.2,49,5.15,2.19
BKE,11.241811,-14.363706,MOBILE,2026-02-27T22:12:00.000Z,-84.1,-113.9,-15.5,-5.9,,,561.3,71.4,1.5,56.3,,,,,,16,50.48,15.45
BKE,11.21034,-14.476826,INTERNET,2026-02-17T14:19:00.000Z,-83.4,-112.3,-19.3,-0.4,,,151.2,32.7,14.1,54.4,,,,,,10,43.72,17.45
BKE,11.063354,-14.021115,MOBILE,2026-01-22T15:14:00.000Z,-85.1,-111.1,-18,-5,,,426.3,78.5,12.6,30.6,,,,,,11,49.04,23.03
