regionCode,latitude,longitude,typeMesure,timestamp,rssi,rsrp,rsrq,sinr,debitDescendant,debitMontant,latence,gigue,tauxAppelReussi,tauxDropCall,debitDownload,debitUpload,ping,dnsLookupTime,tcpConnectTime,scoreQoE,pageLoadTime,videoBuffering
CON,9.544961,-13.658045,MOBILE,2026-03-20T07:55:00.000Z,-85,-107.5,-17.3,-6.8,,,174.2,21.2,28,53.6,,,,,,2,27.39,26.1
CON,9.58932,-13.676568,MOBILE,2026-02-25T13:38:00.000Z,-53.7,-74.7,-10,9.5,21.4,7.6,46.5,8.4,76.2,23.1,,,,,,63,4.01,3.02
CON,9.508073,-13.710845,MOBILE,2026-03-27T07:17:00.000Z,-75.4,-103.5,-11.1,15.2,29,14.9,40.4,10.3,100,0,,,,,,87,4.34,1.63
CON,9.566078,-13.662269,INTERNET,2026-01-03T14:55:00.000Z,-60.8,-70.7,-12.2,4.4,,,53.2,13.8,,,36.4,17.1,49.9,23.4,76.4,68,5.26,1.26
CON,9.442482,-13.601747,MOBILE,2026-01-23T17:50:00.000Z,-89.5,-109.7,-12.7,4.6,42.5,14.7,46.3,7.5,100,0,,,,,,100,1.82,0.55
CON,9.387867,-13.686616,INTERNET,2026-03-15T15:50:00.000Z,-74.6,-94.7,-8.2,10.5,,,29.1,7.1,,,39.1,18,27.1,27.4,78.2,86,4.28,1.38
CON,9.511209,-13.670449,MOBILE,2026-03-09T10:31:00.000Z,-64,-84.5,-14.2,6.3,31,14.6,26,2.5,94,6.6,,,,,,74,1.78,2.38
CON,9.434883,-13.647031,INTERNET,2026-01-23T16:58:00.000Z,-60.2,-78.2,-12.6,2.1,,,51,7.2,,,42.8,19.3,46.6,14.2,135.9,73,5.55,1.7
CON,9.465487,-13.737237,MOBILE,2026-03-01T08:08:00.000Z,-68.7,-89,-9.1,4.4,29.6,9.4,29.6,9.7,98,2.2,,,,,,82,4.16,2.19
CON,9.514371,-13.724335,INTERNET,2026-02-20T21:32:00.000Z,-71.7,-94.1,-13.2,3.4,,,24.3,8.7,,,44.3,16.7,32.9,56.4,87.6,87,4.28,0.33
CYA,9.782876,-13.411818,MOBILE,2026-03-21T11:48:00.000Z,-63.8,-82.7,-12.6,15.8,21.4,11.6,48.2,3.4,81.6,21.2,,,,,,72,2.66,0.34
CYA,9.563732,-13.491424,INTERNET,2026-02-21T09:11:00.000Z,-58.8,-82.1,-9.2,4.3,,,45.3,4.1,,,50.7,13.6,33.7,46.3,130.9,62,5.12,0.45
CYA,9.750956,-13.382966,MOBILE,2026-03-09T10:45:00.000Z,-71.1,-76.8,-10.7,16.2,25,13.7,51.8,8.1,89.8,12.3,,,,,,85,4.61,2.17
CYA,9.618269,-13.39706,MOBILE,2026-01-04T16:54:00.000Z,-82.4,-95.3,-18,-3.5,,,195.4,52.3,9.1,75.6,,,,,,7,51.44,27.98
CYA,9.695073,-13.427223,MOBILE,2026-01-16T18:26:00.000Z,-46.6,-67.9,-14.8,10.6,26,5.8,38,2.6,66.4,38.6,,,,,,50,4.94,4.33
KIN,9.938699,-12.847399,MOBILE,2026-02-21T12:03:00.000Z,-48.5,-64.7,-12.8,8.7,22.7,8.9,57.6,11.7,69.4,33.2,,,,,,65,3.19,3.8
KIN,10.018454,-12.889777,INTERNET,2026-01-05T13:03:00.000Z,-59.2,-69.4,-8.1,2.6,,,39.4,7.1,,,41.1,16.7,46.3,59.2,127.1,69,6.25,2.92
KIN,9.962794,-12.814885,MOBILE,2026-01-06T09:48:00.000Z,-79.4,-104.2,-17.7,-3.3,,,443.2,29.1,33.1,76.8,,,,,,2,48.51,27.25
KIN,10.124403,-12.858393,MOBILE,2026-01-07T10:39:00.000Z,-54.2,-66.5,-14.7,8.2,31.2,12.5,47,14.5,76.1,22.2,,,,,,63,2.73,2.05
KIN,10.048469,-12.634916,MOBILE,2026-01-27T16:44:00.000Z,-73.1,-104.2,-15.1,-4,,,96.3,89.2,32.6,48,,,,,,3,41.95,18.98
BKE,11.044065,-14.449876,INTERNET,2026-01-01T22:22:00.000Z,-48,-66.7,-14.5,1.7,,,51.5,2.3,,,34.6,15.1,36.9,14.1,153.1,57,5.74,3.69
BKE,11.212377,-14.196814,MOBILE,2026-01-14T17:35:00.000Z,-81.5,-102.4,-18.7,-8.7,,,549.5,91.5,15.4,62.4,,,,,,2,43.9,15.78
BKE,11.320725,-14.439788,INTERNET,2026-02-01T22:58:00.000Z,-44.8,-59.2,-11,6.5,,,47.3,9.9,,,26.4,12.7,69.4,76.6,159.4,47,4.76,2.89
BKE,10.969126,-14.626574,MOBILE,2026-03-24T12:44:00.000Z,-76.9,-95.7,-16.1,-3,,,208.7,73,38.3,61.5,,,,,,19,29.86,6.63
BKE,11.153671,-14.137215,MOBILE,2026-03-15T19:34:00.000Z,-79.2,-105,-16.1,-0.2,,,387,73.2,39.6,58.1,,,,,,12,51.62,27.43
KDR,12.308656,-13.093921,INTERNET,2026-01-19T06:40:00.000Z,-82,-95.1,-16.1,-5,,,235,92.5,31.3,46.1,,,,,,15,13.74,20.7
