operateur,region,latitude,longitude,typeMesure,timestamp,rssi,rsrp,rsrq,sinr,debitDescendant,debitMontant,latence,gigue,tauxAppelReussi,tauxDropCall,debitDownload,debitUpload,ping,dnsLookupTime,tcpConnectTime,scoreQoE,pageLoadTime,videoBuffering,campagne
MTN,CON,9.498706,-13.708999,MOBILE,2026-02-20T22:19:00.000Z,-80.7,-100.3,-11.7,15.2,20.7,11.4,30,7.5,100.0,0.0,,,,,,74,2.6,1.4,Drive Test Conakry 2026-Q1
MTN,CON,9.563948,-13.672830,MOBILE,2026-03-07T13:09:00.000Z,-82.5,-99.8,-8.9,3.9,21.2,11.1,31,3.4,100.0,0.0,,,,,,79,2.7,0.2,Drive Test Conakry 2026-Q1
MTN,CON,9.597178,-13.656516,MOBILE,2026-02-17T07:18:00.000Z,-79.1,-106.1,-10.7,4.8,28.6,8.8,55,9.6,100.0,2.4,,,,,,79,3.9,0.4,Drive Test Conakry 2026-Q1
MTN,CON,9.429681,-13.677083,MOBILE,2026-02-15T17:33:00.000Z,-80.8,-103.0,-17.7,-5.4,0.0,0.0,444,86.8,10.2,65.5,0.5,0.0,443,241,472,15,30.4,18.7,Drive Test Conakry 2026-Q1
MTN,CON,9.459924,-13.760478,INTERNET,2026-03-19T17:53:00.000Z,-71.7,-92.4,-13.6,10.5,,,53,7.1,,,25.1,16.4,54,18,99,68,1.5,1.4,Drive Test Conakry 2026-Q1
MTN,CYA,10.083291,-13.383291,INTERNET,2026-02-12T22:42:00.000Z,-89.0,-113.1,-19.7,-2.8,0.0,0.0,194,59.3,32.9,56.8,0.3,0.0,498,285,404,16,21.9,26.0,Drive Test Coyah 2026-Q1
MTN,CYA,10.033185,-13.162560,INTERNET,2026-02-11T20:13:00.000Z,-83.4,-101.5,-19.9,-1.9,0.0,0.0,551,29.4,14.7,51.2,0.0,0.0,297,130,620,3,46.6,19.4,Drive Test Coyah 2026-Q1
MTN,CYA,9.987168,-13.367474,INTERNET,2026-03-03T15:40:00.000Z,-63.5,-79.6,-10.6,8.4,,,48,9.3,,,29.3,14.7,47,26,34,67,4.0,0.5,Drive Test Coyah 2026-Q1
MTN,CYA,10.083381,-13.383207,INTERNET,2026-03-13T21:04:00.000Z,-67.4,-90.5,-7.0,16.9,,,57,5.3,,,36.0,14.6,57,41,109,67,2.6,1.6,Drive Test Coyah 2026-Q1
MTN,CYA,9.991716,-13.397752,INTERNET,2026-01-08T17:15:00.000Z,-85.0,-100.1,-15.3,-2.4,0.0,0.0,231,62.4,14.3,60.3,0.6,0.0,548,447,275,11,31.9,26.9,Drive Test Coyah 2026-Q1
MTN,KIN,10.182453,-12.976183,INTERNET,2026-01-11T11:41:00.000Z,-50.3,-72.1,-14.3,4.0,,,58,9.4,,,15.6,10.0,65,16,141,47,6.6,2.8,Drive Test Kindia 2026-Q1
MTN,KIN,10.042741,-12.908238,INTERNET,2026-02-19T20:06:00.000Z,-56.5,-75.1,-13.1,10.2,,,60,10.7,,,28.8,12.7,58,28,40,65,1.9,0.2,Drive Test Kindia 2026-Q1
MTN,KIN,10.142805,-12.777289,MOBILE,2026-01-10T16:42:00.000Z,-79.5,-111.7,-18.3,-3.3,0.0,0.0,217,81.1,37.6,65.8,0.3,0.0,263,346,235,10,46.3,12.3,Drive Test Kindia 2026-Q1
MTN,KIN,10.039232,-12.890252,MOBILE,2026-02-27T14:10:00.000Z,-70.7,-81.5,-10.8,3.9,18.5,8.1,62,10.4,82.7,19.0,,,,,,58,3.8,1.7,Drive Test Kindia 2026-Q1
