operateur,region,regionNom,latitude,longitude,typeMesure,timestamp,rssi,rsrp,rsrq,sinr,debitDescendant,debitMontant,latence,gigue,tauxAppelReussi,tauxDropCall,debitDownload,debitUpload,ping,dnsLookupTime,tcpConnectTime,scoreQoE,pageLoadTime,videoBuffering,campagne
CELCOM,CON,Conakry,9.43,-13.6,MOBILE,2025-09-19T01:11:21.931000Z,-96.89,-105.16,-14.88,5.09,3.19,0.53,232.19,37.55,16.3,22.03,,,,,,,,,Campagne Celcom Guinée Conakry 2025-Q3
CELCOM,CON,Conakry,9.63,-13.82,INTERNET,2025-09-09T04:19:03.520000Z,,,,,,,,,,,5.5,5.69,62.35,41.71,255.75,,,,Campagne Celcom Guinée Conakry 2025-Q3
CELCOM,CON,Conakry,9.65,-13.63,INTERNET,2025-09-07T12:03:43.193000Z,,,,,,,,,,,0.01,0.01,313.01,169.65,1396.14,,,,Campagne Celcom Guinée Conakry 2025-Q3
CELCOM,CON,Conakry,9.57,-13.58,MOBILE,2025-07-31T03:32:41.829000Z,-100.64,-106.11,-13.26,0.03,0,4.44,263.74,48.23,22.91,26.4,,,,,,,,,Campagne Celcom Guinée Conakry 2025-Q3
CELCOM,CON,Conakry,9.6,-13.65,DRIVE_TEST,2025-08-14T10:12:48.648000Z,-69.02,-86.87,-10.87,5.61,8.44,8.36,57.46,13.38,89.59,7.84,7.77,7.54,61.88,31.88,238.61,47.21,3.85,2.87,Campagne Celcom Guinée Conakry 2025-Q3
CELCOM,CON,Conakry,9.55,-13.58,MOBILE,2025-09-12T09:10:15.206000Z,-102.03,-102.77,-15.86,0.61,0,0,218.27,44.22,18.48,26.03,,,,,,,,,Campagne Celcom Guinée Conakry 2025-Q3
CELCOM,CYA,Coyah,9.85,-13.53,DRIVE_TEST,2025-08-17T08:18:39.504000Z,-104.04,-107.62,-16.04,2.43,3.45,0.2,295.83,56.06,21.76,34.9,4.21,0.01,332.34,178.57,1430.21,5.59,25,33.58,Campagne Celcom Guinée Coyah 2025-Q3
CELCOM,CYA,Coyah,9.87,-13.45,INTERNET,2025-09-24T05:16:08.032000Z,,,,,,,,,,,4.07,2.87,280.1,166.65,1145.24,,,,Campagne Celcom Guinée Coyah 2025-Q3
CELCOM,KIN,Kindia,10.09,-12.87,MOBILE,2025-07-28T10:19:53.555000Z,-100.9,-114.08,-17.78,-5.11,2.8,0.18,275.56,49.51,20.81,32.02,,,,,,,,,Campagne Celcom Guinée Kindia 2025-Q3
CELCOM,BOK,Boké,11.1,-14.16,DRIVE_TEST,2025-08-01T18:44:57.086000Z,-102.77,-110.69,-15.86,-0.84,2.86,0.14,201.93,37.42,19.43,24.67,3.34,2.35,247.68,107.77,1042.03,14.61,17.97,19.96,Campagne Celcom Guinée Boké 2025-Q3
CELCOM,BOK,Boké,11.11,-14.19,INTERNET,2025-08-20T09:05:54.823000Z,,,,,,,,,,,3.3,4.49,246.08,139.8,1197.87,,,,Campagne Celcom Guinée Boké 2025-Q3
CELCOM,BOK,Boké,11.07,-14.25,INTERNET,2025-08-14T09:13:40.606000Z,,,,,,,,,,,7.07,4.37,141.97,83.48,572.14,,,,Campagne Celcom Guinée Boké 2025-Q3
CELCOM,BOK,Boké,11.31,-14.34,DRIVE_TEST,2025-07-08T02:09:26.988000Z,-94.29,-105.93,-13.82,3.29,2.21,0,378.32,69.82,11.94,42.76,3.02,4.3,414.6,222,1777.49,17.17,28.32,36.74,Campagne Celcom Guinée Boké 2025-Q3
CELCOM,BOK,Boké,11.17,-14.24,DRIVE_TEST,2025-09-12T04:54:08.612000Z,-96.05,-99.42,-19.15,8.11,0,1.5,162.99,30.16,31.72,18.93,2.61,0.7,163.14,111.96,764.7,22.88,13.36,17.64,Campagne Celcom Guinée Boké 2025-Q3
CELCOM,KDR,Koundara,12.38,-13.26,MOBILE,2025-08-26T09:16:15.061000Z,-104.08,-117.12,-14.25,1.54,3.14,0.95,423.24,76.22,19.34,44.15,,,,,,,,,Campagne Celcom Guinée Koundara 2025-Q3
CELCOM,KDR,Koundara,12.36,-13.42,MOBILE,2025-07-10T21:48:20.559000Z,-96.8,-107.68,-17.68,-0.81,0,0.07,238.49,46.15,26.05,30.63,,,,,,,,,Campagne Celcom Guinée Koundara 2025-Q3
CELCOM,KDR,Koundara,12.49,-13.34,DRIVE_TEST,2025-08-12T10:40:19.118000Z,-88.01,-112.17,-16.19,10.54,0,4.21,129.53,26.87,48.32,15.15,0.01,2.64,139.5,70.43,564.48,18.23,11.65,11.71,Campagne Celcom Guinée Koundara 2025-Q3
CELCOM,KDR,Koundara,12.64,-13.2,INTERNET,2025-07-06T00:33:44.216000Z,,,,,,,,,,,0.01,0.01,163.86,107.15,744.06,,,,Campagne Celcom Guinée Koundara 2025-Q3
CELCOM,LAB,Labé,11.19,-12.15,MOBILE,2025-07-14T01:20:02.322000Z,-92.45,-108.38,-15.83,3.4,1.23,0.13,166.22,23.76,25.74,19.82,,,,,,,,,Campagne Celcom Guinée Labé 2025-Q3
CELCOM,LAB,Labé,11.17,-12.37,INTERNET,2025-07-07T15:57:24.359000Z,,,,,,,,,,,0.01,0.01,358.11,188.55,1541.1,,,,Campagne Celcom Guinée Labé 2025-Q3
CELCOM,LAB,Labé,11.42,-12.23,MOBILE,2025-08-07T20:47:50.150000Z,-104.84,-118.95,-16.98,-5.62,6.25,0,260.76,47.16,27.22,29.14,,,,,,,,,Campagne Celcom Guinée Labé 2025-Q3
CELCOM,LAB,Labé,11.45,-12.17,INTERNET,2025-09-24T16:57:29.286000Z,,,,,,,,,,,1.06,1.59,366.21,186.71,1569.05,,,,Campagne Celcom Guinée Labé 2025-Q3
CELCOM,LAB,Labé,11.42,-12.16,INTERNET,2025-09-16T23:03:55.006000Z,,,,,,,,,,,5.14,3.67,132.13,63.51,535.57,,,,Campagne Celcom Guinée Labé 2025-Q3
CELCOM,LAB,Labé,11.22,-12.22,DRIVE_TEST,2025-09-09T09:27:19.568000Z,-98.33,-114.19,-17.55,-0.55,5.27,1.42,176.11,26.35,33.92,21.47,0.01,0.01,181.28,107.75,869.93,15.91,13.84,17.66,Campagne Celcom Guinée Labé 2025-Q3
CELCOM,MLI,Mali,12.06,-12.16,INTERNET,2025-08-03T05:00:37.041000Z,,,,,,,,,,,5.26,1.03,129.5,70.12,584.87,,,,Campagne Celcom Guinée Mali 2025-Q3
CELCOM,MLI,Mali,12.01,-12.19,DRIVE_TEST,2025-07-08T23:13:25.944000Z,-89.47,-109.82,-16.29,5.53,4.72,0,131.06,20.77,40.62,17.76,6.58,0.27,149.93,90.31,635.33,23.64,9.27,13.77,Campagne Celcom Guinée Mali 2025-Q3
CELCOM,MLI,Mali,12.13,-12.33,DRIVE_TEST,2025-09-21T06:13:35.855000Z,-96.69,-92.01,-12.3,3.44,3.48,0,168.38,31.38,31.38,17.21,1.07,0.01,218.28,103.02,805.65,19.78,13.53,15.04,Campagne Celcom Guinée Mali 2025-Q3
CELCOM,MLI,Mali,12.07,-12.2,DRIVE_TEST,2025-07-02T20:21:23.479000Z,-97.55,-106.01,-15.32,2.19,4.11,5.55,133.12,32.56,45.33,17.58,3.84,4.13,142.05,98.93,607.92,18.92,10.86,17.63,Campagne Celcom Guinée Mali 2025-Q3
CELCOM,DLB,Dalaba,10.96,-12.14,MOBILE,2025-08-15T08:56:06.786000Z,-97.18,-117.36,-12.36,2.92,2.16,0.61,170.53,24.81,34.65,17.09,,,,,,,,,Campagne Celcom Guinée Dalaba 2025-Q3
CELCOM,DLB,Dalaba,11.08,-12.13,DRIVE_TEST,2025-09-06T14:59:51.119000Z,-105.16,-110.98,-16.45,3.94,3.72,1.46,226.32,45.87,24.95,27.41,3.36,0.01,257.91,138.99,1090.03,13.69,17.89,21.05,Campagne Celcom Guinée Dalaba 2025-Q3
CELCOM,DLB,Dalaba,11.03,-12.2,DRIVE_TEST,2025-07-04T10:34:36.177000Z,-105.93,-102.93,-12.77,0.89,3.85,0.25,162.6,22.57,31.07,16.71,6.37,3.25,162.85,95.26,770.82,21.36,11.84,16.24,Campagne Celcom Guinée Dalaba 2025-Q3
CELCOM,DLB,Dalaba,11.11,-12.33,MOBILE,2025-08-30T16:11:22.802000Z,-98.33,-111.95,-15.71,-0.39,1.65,0,278.74,51.23,10.6,32.68,,,,,,,,,Campagne Celcom Guinée Dalaba 2025-Q3
CELCOM,DLB,Dalaba,10.88,-12.33,MOBILE,2025-08-17T10:21:55.668000Z,-103.97,-106.7,-16.96,5.43,2.78,4.3,120.48,24.38,36.8,16.91,,,,,,,,,Campagne Celcom Guinée Dalaba 2025-Q3
CELCOM,MAM,Mamou,10.42,-12.16,INTERNET,2025-08-03T18:37:47.643000Z,,,,,,,,,,,7.44,5.36,90.01,43.81,331.28,,,,Campagne Celcom Guinée Mamou 2025-Q3
CELCOM,MAM,Mamou,10.64,-12.04,DRIVE_TEST,2025-09-22T21:24:27.458000Z,-71.78,-95.86,-11.3,8.94,6.53,0.65,68.12,9.93,91.31,7.54,13.17,3.18,47.58,38.93,308.75,49.97,5.33,6.26,Campagne Celcom Guinée Mamou 2025-Q3
CELCOM,MAM,Mamou,10.52,-12.08,INTERNET,2025-09-24T08:29:19.070000Z,,,,,,,,,,,10.32,3.49,75.98,40.96,309.34,,,,Campagne Celcom Guinée Mamou 2025-Q3
CELCOM,MAM,Mamou,10.62,-12.11,MOBILE,2025-09-11T00:04:28.279000Z,-108.03,-112.55,-16.62,2.96,0.24,2.03,275.58,50.97,18.54,34.42,,,,,,,,,Campagne Celcom Guinée Mamou 2025-Q3
CELCOM,MAM,Mamou,10.52,-11.96,DRIVE_TEST,2025-08-27T09:16:03.038000Z,-74.81,-91.37,-8.43,7,11.78,3.22,62.48,12.57,94.4,6.8,6.32,4.95,62.5,34.5,262.64,53.8,6.38,3.98,Campagne Celcom Guinée Mamou 2025-Q3
CELCOM,MAM,Mamou,10.59,-12.15,INTERNET,2025-08-10T11:37:41.812000Z,,,,,,,,,,,2.62,0.01,281.59,149.71,1285.35,,,,Campagne Celcom Guinée Mamou 2025-Q3
CELCOM,FAR,Faranah,9.95,-10.71,MOBILE,2025-08-08T08:08:28.442000Z,-98.17,-102.14,-15.41,-4.14,0,0,248.3,42.46,23.36,25.69,,,,,,,,,Campagne Celcom Guinée Faranah 2025-Q3
CELCOM,FAR,Faranah,9.93,-10.83,MOBILE,2025-07-04T22:57:04.710000Z,-98.86,-112.29,-18.24,-0.77,0.05,0,325.98,62.35,19.3,41.43,,,,,,,,,Campagne Celcom Guinée Faranah 2025-Q3
CELCOM,FAR,Faranah,10.18,-10.81,MOBILE,2025-07-10T09:56:24.360000Z,-93.89,-112.07,-16.27,3.97,4.09,0,175.81,28.98,29.63,17.79,,,,,,,,,Campagne Celcom Guinée Faranah 2025-Q3
CELCOM,FAR,Faranah,10.05,-10.84,INTERNET,2025-08-20T04:33:21.176000Z,,,,,,,,,,,0.01,1.08,221.64,134.77,965.15,,,,Campagne Celcom Guinée Faranah 2025-Q3
CELCOM,KDG,Kissidougou,9.33,-10.13,MOBILE,2025-08-25T05:15:57.262000Z,-103.81,-107.44,-17.72,-2.65,5.71,3.24,186.7,37.96,29.72,20.42,,,,,,,,,Campagne Celcom Guinée Kissidougou 2025-Q3
CELCOM,KDG,Kissidougou,9.29,-10.17,DRIVE_TEST,2025-09-20T14:39:10.290000Z,-96.4,-99.99,-13.51,1.07,4.23,0.3,134.63,27.52,43.33,14.33,0.01,1.85,147.72,86.53,597.12,38.29,9.6,10.37,Campagne Celcom Guinée Kissidougou 2025-Q3
CELCOM,KDG,Kissidougou,9.14,-10.08,INTERNET,2025-08-23T17:52:30.809000Z,,,,,,,,,,,0.01,0.69,213.09,129.05,1003.49,,,,Campagne Celcom Guinée Kissidougou 2025-Q3
CELCOM,KDG,Kissidougou,9.05,-10.16,MOBILE,2025-07-25T21:52:10.840000Z,-99.65,-112.69,-11.31,-2.86,5.49,0,190.16,35.46,26.93,21.71,,,,,,,,,Campagne Celcom Guinée Kissidougou 2025-Q3
CELCOM,KAN,Kankan,10.39,-9.4,DRIVE_TEST,2025-07-08T09:48:46.384000Z,-79.65,-83.46,-13.45,8.01,1.57,3.06,82.1,16.44,72.19,8.84,9.94,5.03,68.97,42.36,316.6,41.41,5.25,6.44,Campagne Celcom Guinée Kankan 2025-Q3
CELCOM,KAN,Kankan,10.48,-9.3,DRIVE_TEST,2025-09-12T09:38:08.470000Z,-69.37,-82.76,-11.46,8.34,7.16,6.73,62.73,13.72,95.14,8.04,9.41,7.17,60.32,40.94,263.85,65.02,3.87,3.8,Campagne Celcom Guinée Kankan 2025-Q3
CELCOM,KAN,Kankan,10.29,-9.25,MOBILE,2025-07-31T13:45:53.052000Z,-95.83,-116.47,-16.96,4.34,6.59,0,235.36,45.15,26.22,27.91,,,,,,,,,Campagne Celcom Guinée Kankan 2025-Q3
CELCOM,KAN,Kankan,10.27,-9.25,MOBILE,2025-07-06T15:24:30.721000Z,-68.98,-92.98,-12.01,6.41,16.2,3.2,49.89,8.59,89.9,4.4,,,,,,,,,Campagne Celcom Guinée Kankan 2025-Q3
CELCOM,KAN,Kankan,10.5,-9.42,INTERNET,2025-09-28T14:02:00.991000Z,,,,,,,,,,,7.96,3.85,71.98,30.24,322.4,,,,Campagne Celcom Guinée Kankan 2025-Q3
CELCOM,SGR,Siguiri,11.56,-9.18,INTERNET,2025-08-02T12:28:53.124000Z,,,,,,,,,,,1.1,2.28,179.24,96.78,719.86,,,,Campagne Celcom Guinée Siguiri 2025-Q3
CELCOM,SGR,Siguiri,11.43,-9.15,INTERNET,2025-08-17T08:01:33.433000Z,,,,,,,,,,,8.92,3.65,139.48,70.6,607.7,,,,Campagne Celcom Guinée Siguiri 2025-Q3
CELCOM,GKD,Guéckédou,8.62,-10.23,DRIVE_TEST,2025-08-15T13:45:53.575000Z,-87.61,-99.93,-14.27,3.57,6.8,1.49,156.8,24.78,46.91,20.97,8.82,4.02,147.73,75.12,608.88,18.61,9.86,9.79,Campagne Celcom Guinée Guéckédou 2025-Q3
CELCOM,BLA,Beyla,8.62,-8.68,DRIVE_TEST,2025-09-20T00:56:04.842000Z,-96.41,-105.17,-15.14,6.47,3.1,0,170,29.1,25.98,20.1,1.48,4.79,193.22,107.42,848.78,20.96,11.75,13.58,Campagne Celcom Guinée Beyla 2025-Q3
CELCOM,NZE,N'Zérékoré,7.73,-8.81,MOBILE,2025-08-02T14:41:19.209000Z,-66.22,-88.65,-11.9,8.38,9.73,2.79,47.7,14.4,95.03,4,,,,,,,,,Campagne Celcom Guinée N'Zérékoré 2025-Q3
CELCOM,NZE,N'Zérékoré,7.76,-8.94,INTERNET,2025-09-14T13:38:30.163000Z,,,,,,,,,,,2.89,3.2,223.12,129.86,1039.73,,,,Campagne Celcom Guinée N'Zérékoré 2025-Q3
CELCOM,NZE,N'Zérékoré,7.89,-8.7,INTERNET,2025-09-20T20:24:31.785000Z,,,,,,,,,,,17.6,3.46,58.09,28.15,258.29,,,,Campagne Celcom Guinée N'Zérékoré 2025-Q3
CELCOM,NZE,N'Zérékoré,7.74,-8.81,MOBILE,2025-08-19T17:32:54.987000Z,-79.16,-95.78,-13.49,4.94,7.32,3.84,54.07,15.51,77.74,9.07,,,,,,,,,Campagne Celcom Guinée N'Zérékoré 2025-Q3
CELCOM,NZE,N'Zérékoré,7.87,-8.84,DRIVE_TEST,2025-09-29T22:42:51.203000Z,-68.55,-80.42,-12.66,11.14,7.34,3.01,62.92,8.91,93.66,0.85,16.27,2.75,61.55,40.64,252.52,53.88,4.08,6.6,Campagne Celcom Guinée N'Zérékoré 2025-Q3
