operateur,region,regionNom,latitude,longitude,typeMesure,timestamp,rssi,rsrp,rsrq,sinr,debitDescendant,debitMontant,latence,gigue,tauxAppelReussi,tauxDropCall,debitDownload,debitUpload,ping,dnsLookupTime,tcpConnectTime,scoreQoE,pageLoadTime,videoBuffering,campagne
INTERCEL,CON,Conakry,9.42,-13.57,INTERNET,2025-06-25T19:35:45.806000Z,,,,,,,,,,,1.88,1.33,450.73,233.26,1904.73,,,,Campagne Intercel Guinée Conakry 2025-Q2
INTERCEL,CON,Conakry,9.61,-13.59,MOBILE,2025-06-07T20:14:31.408000Z,-103.08,-115.94,-19.82,3.66,0,0,642.63,131.25,4.59,73.08,,,,,,,,,Campagne Intercel Guinée Conakry 2025-Q2
INTERCEL,CON,Conakry,9.36,-13.66,MOBILE,2025-05-20T20:55:31.990000Z,-115.2,-114.18,-18.24,2.59,0,0.79,688.2,146.02,13.07,83.08,,,,,,,,,Campagne Intercel Guinée Conakry 2025-Q2
INTERCEL,CON,Conakry,9.65,-13.64,INTERNET,2025-05-14T16:08:00.877000Z,,,,,,,,,,,0.01,0.51,439.49,234.29,1854.89,,,,Campagne Intercel Guinée Conakry 2025-Q2
INTERCEL,CON,Conakry,9.62,-13.76,INTERNET,2025-04-13T21:49:06.740000Z,,,,,,,,,,,7.73,2.6,605.6,302.97,2545.17,,,,Campagne Intercel Guinée Conakry 2025-Q2
INTERCEL,CYA,Coyah,9.71,-13.47,DRIVE_TEST,2025-04-07T23:07:49.585000Z,-103.82,-110.42,-16.92,-1.31,5.45,0,369.5,78.15,12.02,46.09,1.03,1.38,412.49,203.94,1756.26,3.09,27.39,49.06,Campagne Intercel Guinée Coyah 2025-Q2
INTERCEL,CYA,Coyah,9.69,-13.43,INTERNET,2025-05-05T09:26:25.449000Z,,,,,,,,,,,0.01,2.76,130.97,62.6,566.29,,,,Campagne Intercel Guinée Coyah 2025-Q2
INTERCEL,CYA,Coyah,9.69,-13.39,INTERNET,2025-05-03T11:24:04.571000Z,,,,,,,,,,,2.74,1.61,129.16,69.79,574.46,,,,Campagne Intercel Guinée Coyah 2025-Q2
INTERCEL,KIN,Kindia,10.05,-13,DRIVE_TEST,2025-05-26T09:19:56.113000Z,-112.42,-121.23,-16.71,3.09,0,1.09,553.64,112.02,17.71,63.46,0.01,0.01,613.46,301.89,2591.63,2.26,38.6,70.14,Campagne Intercel Guinée Kindia 2025-Q2
INTERCEL,BOK,Boké,11.23,-14.36,INTERNET,2025-05-03T20:36:51.583000Z,,,,,,,,,,,4.02,0.01,547.38,271.18,2258.99,,,,Campagne Intercel Guinée Boké 2025-Q2
