operateur,region,regionNom,latitude,longitude,typeMesure,timestamp,rssi,rsrp,rsrq,sinr,debitDescendant,debitMontant,latence,gigue,tauxAppelReussi,tauxDropCall,debitDownload,debitUpload,ping,dnsLookupTime,tcpConnectTime,scoreQoE,pageLoadTime,videoBuffering,campagne
CELCOM,MMU,Mamou,10.415568,-11.989219,MOBILE,2025-04-02T13:17:34.000Z,-101.0,-121.1,-16.3,-4.5,,,508.6,149.4,12.4,46.2,0.32,0.13,928.4,797.4,1994.5,7.0,44.57,11.7,Drive Test Mamou 2025-Q2
CELCOM,ZKR,N'Zérékoré,7.789095,-8.939838,MOBILE,2025-05-28T10:35:26.000Z,-92.6,-120.8,-16.8,-10.9,,,369.9,96.1,25.6,49.1,0.16,0.01,1701.4,348.6,367.9,3.0,58.32,11.65,Drive Test N'Zérékoré 2025-Q2
CELCOM,CON,Conakry,9.488116,-13.772425,INTERNET,2025-04-04T11:25:13.000Z,-92.6,-125.8,-19.2,-3.8,,,835.7,146.8,4.1,63.5,0.41,0.07,1164.0,705.3,1909.7,1.0,32.55,30.51,Drive Test Conakry 2025-Q2
CELCOM,LBE,Labé,11.314444,-12.198697,INTERNET,2025-06-08T13:58:54.000Z,-106.8,-115.0,-16.5,-7.8,,,776.7,103.3,2.1,53.5,0.15,0.2,432.3,386.7,1242.0,3.0,34.92,29.49,Drive Test Labé 2025-Q2
CELCOM,MMU,Mamou,10.549093,-12.094553,MOBILE,2025-06-10T05:19:30.000Z,-94.2,-113.3,-16.5,-2.7,,,678.7,69.6,24.3,48.2,0.34,0.2,644.1,261.1,926.6,3.0,59.58,44.73,Drive Test Mamou 2025-Q2
CELCOM,ZKR,N'Zérékoré,7.672553,-8.864765,INTERNET,2025-06-13T22:54:53.000Z,-98.8,-111.5,-18.0,-4.4,,,294.2,133.5,9.9,79.0,0.45,0.18,1595.7,792.2,1140.4,2.0,18.84,10.39,Drive Test N'Zérékoré 2025-Q2
CELCOM,KKA,Kankan,10.143347,-9.197249,MOBILE,2025-05-25T20:51:53.000Z,-62.2,-77.2,-10.8,2.3,7.3,3.2,53.5,12.9,73.3,12.6,,,,,,48.0,9.93,,Drive Test Kankan 2025-Q2
CELCOM,CON,Conakry,9.503676,-13.699566,MOBILE,2025-06-18T11:24:27.000Z,-95.4,-124.9,-17.2,-2.4,,,875.2,76.1,15.9,76.4,0.24,0.11,1322.6,325.4,1616.1,10.0,20.14,17.94,Drive Test Conakry 2025-Q2
CELCOM,DLB,Dalaba,10.708429,-12.402282,MOBILE,2025-06-20T12:17:37.000Z,-99.4,-116.7,-19.7,-3.1,,,300.1,97.3,25.6,45.9,0.5,0.14,705.1,530.2,407.8,11.0,53.98,22.96,Drive Test Dalaba 2025-Q2
CELCOM,GKD,Guéckédou,8.654492,-10.226962,MOBILE,2025-04-04T22:20:17.000Z,-30.0,-44.0,-3.0,6.4,2.7,1.5,26.9,4.6,30.6,5.2,,,,,,21.0,2.57,,Drive Test Guéckédou 2025-Q2
CELCOM,CYA,Coyah,9.501051,-13.41967,MOBILE,2025-05-12T06:41:34.000Z,-72.7,-80.6,-13.9,7.6,6.4,2.9,42.9,9.1,74.5,10.8,,,,,,45.0,7.28,,Drive Test Coyah 2025-Q2
CELCOM,KIN,Kindia,10.129691,-13.026212,MOBILE,2025-04-12T02:05:17.000Z,-96.6,-113.9,-16.6,-5.1,,,616.2,60.1,25.5,53.0,0.12,0.09,395.4,177.7,1384.9,9.0,35.61,27.4,Drive Test Kindia 2025-Q2
CELCOM,ZKR,N'Zérékoré,7.736545,-8.867769,MOBILE,2025-05-29T09:06:22.000Z,-91.7,-120.3,-16.8,-10.1,,,907.1,35.2,25.3,43.1,0.46,0.18,1169.5,212.7,546.2,8.0,19.22,11.52,Drive Test N'Zérékoré 2025-Q2
CELCOM,ZKR,N'Zérékoré,7.793915,-8.916815,INTERNET,2025-06-18T22:46:54.000Z,-101.6,-110.7,-18.2,-9.1,,,938.0,32.6,22.2,39.1,0.08,0.06,1639.3,209.9,1180.9,1.0,42.14,32.67,Drive Test N'Zérékoré 2025-Q2
CELCOM,DLB,Dalaba,10.693509,-12.300695,INTERNET,2025-06-15T15:35:31.000Z,-30.0,-44.0,-7.8,4.0,4.5,1.7,27.2,5.6,31.0,3.5,5.23,2.62,23.0,30.7,56.8,19.0,3.21,1.33,Drive Test Dalaba 2025-Q2
CELCOM,KKA,Kankan,10.178918,-9.466406,MOBILE,2025-06-02T01:22:46.000Z,-102.0,-124.3,-18.9,-4.2,,,937.0,33.0,11.3,37.6,0.37,0.14,1944.2,286.8,664.8,3.0,20.74,44.5,Drive Test Kankan 2025-Q2
CELCOM,MMU,Mamou,10.638842,-12.022302,MOBILE,2025-04-21T11:01:25.000Z,-66.8,-85.2,-14.3,0.7,7.5,2.7,45.9,9.9,75.8,7.8,,,,,,44.0,9.04,,Drive Test Mamou 2025-Q2
CELCOM,LBE,Labé,11.492018,-12.309809,MOBILE,2025-05-26T05:02:20.000Z,-67.5,-79.8,-11.8,7.5,7.2,3.3,63.7,9.1,74.3,10.0,,,,,,50.0,9.85,,Drive Test Labé 2025-Q2
CELCOM,CYA,Coyah,9.720256,-13.312438,MOBILE,2025-05-16T22:53:41.000Z,-98.5,-114.2,-17.3,-2.8,,,908.2,143.2,15.3,65.7,0.04,0.01,352.4,429.1,407.4,13.0,39.65,15.11,Drive Test Coyah 2025-Q2
CELCOM,DLB,Dalaba,10.380035,-12.522519,MOBILE,2025-04-28T17:30:04.000Z,-101.1,-117.5,-19.4,-6.4,,,741.6,41.2,1.9,63.5,0.34,0.0,1574.9,748.7,1471.2,10.0,22.93,32.46,Drive Test Dalaba 2025-Q2
CELCOM,CON,Conakry,9.453107,-13.710422,MOBILE,2025-04-16T23:08:10.000Z,-75.9,-93.9,-11.6,8.3,9.8,3.9,53.9,17.8,90.0,13.7,,,,,,56.0,11.45,,Drive Test Conakry 2025-Q2
CELCOM,CON,Conakry,9.518631,-13.701294,MOBILE,2025-05-24T06:22:04.000Z,-77.8,-99.8,-14.0,4.3,9.0,2.9,74.8,16.8,90.8,10.7,,,,,,59.0,7.06,,Drive Test Conakry 2025-Q2
CELCOM,CON,Conakry,9.514281,-13.706596,MOBILE,2025-06-20T09:07:33.000Z,-93.6,-116.1,-16.4,-2.5,,,251.1,51.0,20.4,39.1,0.26,0.2,1046.6,431.8,1916.7,1.0,41.95,22.67,Drive Test Conakry 2025-Q2
CELCOM,ZKR,N'Zérékoré,7.677903,-8.768932,MOBILE,2025-06-08T14:47:24.000Z,-92.0,-122.8,-17.8,-6.9,,,935.7,108.4,31.4,44.1,0.11,0.04,411.7,511.4,1304.1,11.0,22.31,29.35,Drive Test N'Zérékoré 2025-Q2
CELCOM,MMU,Mamou,10.599192,-12.053697,MOBILE,2025-04-05T08:47:10.000Z,-62.5,-77.0,-11.8,2.0,6.7,3.2,56.0,14.5,75.6,9.3,,,,,,48.0,7.57,,Drive Test Mamou 2025-Q2
CELCOM,FRN,Faranah,10.397231,-10.877573,MOBILE,2025-04-03T19:16:28.000Z,-99.5,-117.7,-16.9,-9.4,,,473.6,115.6,23.3,40.6,0.14,0.03,249.0,604.7,735.0,14.0,48.87,28.04,Drive Test Faranah 2025-Q2
CELCOM,MMU,Mamou,10.526836,-12.128985,INTERNET,2025-04-23T16:31:58.000Z,-70.5,-83.8,-14.4,4.9,11.8,3.9,53.9,9.7,75.3,8.4,13.96,3.89,48.5,63.4,99.8,50.0,6.96,3.49,Drive Test Mamou 2025-Q2
CELCOM,ZKR,N'Zérékoré,7.698839,-8.910535,MOBILE,2025-05-14T03:53:35.000Z,-105.6,-123.3,-18.1,-2.1,,,656.7,34.5,26.2,58.6,0.47,0.07,1895.5,501.3,1733.8,12.0,25.73,39.07,Drive Test N'Zérékoré 2025-Q2
CELCOM,CON,Conakry,9.472412,-13.673484,INTERNET,2025-06-02T18:05:37.000Z,-86.5,-109.0,-15.2,4.9,9.7,6.1,64.8,19.0,92.5,13.1,19.81,5.03,66.1,72.0,158.5,59.0,7.2,4.54,Drive Test Conakry 2025-Q2
CELCOM,KDG,Kissidougou,8.991557,-9.867756,MOBILE,2025-04-22T16:30:32.000Z,-90.3,-111.4,-18.1,-7.1,,,390.9,129.4,14.2,65.3,0.41,0.1,401.5,215.6,1822.9,10.0,53.38,26.61,Drive Test Kissidougou 2025-Q2
CELCOM,MMU,Mamou,10.475906,-12.071334,MOBILE,2025-05-25T08:00:39.000Z,-101.5,-126.6,-19.6,-8.0,,,486.0,121.4,16.0,64.2,0.13,0.11,1052.1,291.1,874.4,8.0,19.39,39.88,Drive Test Mamou 2025-Q2
CELCOM,LBE,Labé,11.412997,-12.066379,INTERNET,2025-06-21T01:04:40.000Z,-65.0,-79.4,-10.5,0.0,11.2,5.0,44.1,15.4,74.8,7.5,13.12,4.92,42.8,75.8,143.6,45.0,8.53,3.43,Drive Test Labé 2025-Q2
