operateur,region,regionNom,latitude,longitude,typeMesure,timestamp,rssi,rsrp,rsrq,sinr,debitDescendant,debitMontant,latence,gigue,tauxAppelReussi,tauxDropCall,debitDownload,debitUpload,ping,dnsLookupTime,tcpConnectTime,scoreQoE,pageLoadTime,videoBuffering,campagne
INTERCEL,MLI,Mali,12.001219,-12.116789,MOBILE,2025-06-11T10:03:59.000Z,-105.8,-123.3,-19.4,-6.9,,,1084.4,74.8,13.0,67.8,0.46,0.2,1652.0,664.7,737.5,12.0,46.6,34.28,Drive Test Mali 2025-Q2
INTERCEL,ZKR,N'Zérékoré,7.760226,-8.682958,MOBILE,2025-04-20T20:55:07.000Z,-106.6,-121.0,-18.7,-4.2,,,642.5,88.4,18.7,66.6,0.31,0.07,1920.8,148.0,687.0,1.0,24.15,44.0,Drive Test N'Zérékoré 2025-Q2
INTERCEL,CYA,Coyah,9.599556,-13.485317,INTERNET,2025-05-31T20:06:22.000Z,-75.6,-82.5,-10.6,-3.6,3.8,1.0,108.2,30.1,65.8,14.5,3.95,2.03,93.9,141.0,219.5,35.0,20.14,11.02,Drive Test Coyah 2025-Q2
INTERCEL,CON,Conakry,9.41827,-13.779557,MOBILE,2025-06-25T22:19:29.000Z,-105.7,-129.5,-16.2,-4.0,,,605.2,113.4,8.5,65.2,0.33,0.02,909.8,385.0,1655.3,4.0,20.25,30.48,Drive Test Conakry 2025-Q2
INTERCEL,MMU,Mamou,10.49004,-12.255706,MOBILE,2025-06-24T04:36:41.000Z,-114.2,-119.4,-19.2,-6.3,,,716.7,133.9,20.4,78.8,0.23,0.06,453.3,681.5,478.9,8.0,54.86,30.26,Drive Test Mamou 2025-Q2
INTERCEL,KKA,Kankan,10.421925,-9.329563,MOBILE,2025-06-15T20:22:43.000Z,-107.6,-122.4,-19.9,-11.1,,,783.6,125.6,1.3,57.0,0.26,0.05,1673.3,289.5,1371.2,12.0,19.2,30.18,Drive Test Kankan 2025-Q2
INTERCEL,KIN,Kindia,10.147333,-12.610317,INTERNET,2025-04-23T09:48:33.000Z,-113.5,-122.6,-19.1,-5.3,,,904.5,42.2,13.5,58.2,0.48,0.11,628.4,596.8,1891.6,2.0,27.33,26.87,Drive Test Kindia 2025-Q2
INTERCEL,ZKR,N'Zérékoré,7.968253,-8.793757,MOBILE,2025-05-05T02:33:13.000Z,-100.2,-127.9,-19.7,-11.0,,,428.5,31.6,25.0,69.1,0.34,0.14,338.3,595.4,1266.6,1.0,43.39,42.6,Drive Test N'Zérékoré 2025-Q2
INTERCEL,KDG,Kissidougou,9.365128,-9.980685,INTERNET,2025-06-15T11:44:02.000Z,-30.0,-44.0,-3.4,3.3,0.6,0.1,13.5,5.3,12.3,4.0,1.03,0.37,16.8,20.7,46.7,6.0,3.59,2.55,Drive Test Kissidougou 2025-Q2
INTERCEL,CYA,Coyah,9.577205,-13.554163,MOBILE,2025-05-10T23:29:46.000Z,-113.5,-134.0,-19.3,-2.7,,,518.4,67.2,2.2,73.9,0.21,0.02,1207.8,142.2,1385.1,9.0,52.73,30.35,Drive Test Coyah 2025-Q2
INTERCEL,FRN,Faranah,10.203368,-11.038964,MOBILE,2025-05-21T17:53:36.000Z,-102.2,-127.1,-17.1,-5.8,,,625.8,86.7,17.3,46.2,0.19,0.0,1611.3,262.0,1972.2,8.0,40.87,28.74,Drive Test Faranah 2025-Q2
