operateur,region,regionNom,latitude,longitude,typeMesure,timestamp,rssi,rsrp,rsrq,sinr,debitDescendant,debitMontant,latence,gigue,tauxAppelReussi,tauxDropCall,debitDownload,debitUpload,ping,dnsLookupTime,tcpConnectTime,scoreQoE,pageLoadTime,videoBuffering,campagne
MTN,KIN,Kindia,9.872601,-13.017708,INTERNET,2025-02-15T22:41:37.000Z,-59.3,-78.7,-6.9,11.6,15.8,8.6,40.3,5.6,79.9,5.0,23.96,11.33,25.2,40.3,78.2,66.0,3.43,1.15,Drive Test Kindia 2025-Q1
MTN,FRN,Faranah,9.707633,-10.816602,MOBILE,2025-01-24T01:17:38.000Z,-87.8,-103.9,-16.6,-10.0,,,180.1,102.5,17.8,51.1,0.24,0.07,1750.3,756.6,1412.2,9.0,41.17,40.81,Drive Test Faranah 2025-Q1
MTN,ZKR,N'Zérékoré,7.762137,-8.800394,MOBILE,2025-02-04T00:50:54.000Z,-94.2,-115.5,-16.4,-5.4,,,658.2,51.2,9.5,35.9,0.31,0.05,1236.1,684.0,1402.8,11.0,22.99,34.17,Drive Test N'Zérékoré 2025-Q1
MTN,SGR,Siguiri,11.563718,-9.427223,MOBILE,2025-01-20T14:05:58.000Z,-92.6,-104.6,-17.2,-2.6,,,405.4,90.0,9.0,50.0,0.3,0.05,542.5,524.5,773.7,1.0,18.64,33.21,Drive Test Siguiri 2025-Q1
MTN,KKA,Kankan,10.354203,-9.311112,MOBILE,2025-01-22T04:42:14.000Z,-64.7,-80.7,-9.7,10.5,11.4,4.8,34.8,6.7,77.8,6.0,,,,,,66.0,4.22,,Drive Test Kankan 2025-Q1
MTN,BKE,Boké,11.255757,-14.437911,MOBILE,2025-01-17T01:02:31.000Z,-91.5,-110.1,-17.6,-5.0,,,662.0,146.7,19.0,45.6,0.26,0.16,1041.4,718.5,1500.6,7.0,22.58,34.67,Drive Test Boké 2025-Q1
MTN,SGR,Siguiri,11.684316,-9.199331,INTERNET,2025-01-05T18:14:03.000Z,-41.4,-66.4,-6.5,8.6,12.5,5.7,24.4,5.3,60.3,4.4,20.43,6.63,21.2,40.0,54.5,50.0,3.26,1.55,Drive Test Siguiri 2025-Q1
MTN,BKE,Boké,11.257386,-14.275153,MOBILE,2025-01-31T08:28:20.000Z,-82.0,-104.7,-18.7,-8.2,,,706.3,125.1,34.2,68.8,0.41,0.17,209.8,685.2,1661.8,11.0,53.96,36.72,Drive Test Boké 2025-Q1
MTN,LBE,Labé,11.515236,-12.344688,MOBILE,2025-01-26T14:56:57.000Z,-62.4,-71.8,-6.5,12.2,12.3,7.0,35.5,5.3,78.3,4.3,,,,,,60.0,5.04,,Drive Test Labé 2025-Q1
MTN,CON,Conakry,9.542731,-13.600998,INTERNET,2025-03-06T00:33:25.000Z,-79.2,-95.7,-13.3,8.9,21.3,8.4,43.6,6.9,92.4,7.6,32.5,9.66,35.2,56.5,97.3,68.0,4.35,2.73,Drive Test Conakry 2025-Q1
MTN,KIN,Kindia,9.964698,-12.914753,INTERNET,2025-02-02T15:57:24.000Z,-65.2,-69.9,-8.8,3.4,17.0,8.7,38.9,6.0,77.1,3.8,26.24,9.11,28.7,46.7,71.6,59.0,3.86,2.13,Drive Test Kindia 2025-Q1
MTN,DLB,Dalaba,10.998154,-12.407954,MOBILE,2025-01-09T20:55:46.000Z,-83.1,-111.3,-17.6,-11.5,,,825.5,73.2,8.6,75.2,0.47,0.03,1454.9,175.2,726.6,4.0,51.9,30.1,Drive Test Dalaba 2025-Q1
MTN,KDG,Kissidougou,9.205289,-10.056976,INTERNET,2025-03-22T04:54:35.000Z,-84.7,-114.7,-19.7,-6.7,,,803.2,47.8,26.5,64.7,0.09,0.18,1753.1,585.8,1287.3,10.0,47.0,43.92,Drive Test Kissidougou 2025-Q1
MTN,KDR,Koundara,12.667747,-13.2871,INTERNET,2025-01-04T21:29:56.000Z,-40.7,-60.4,-8.7,4.9,11.8,6.2,24.2,3.6,51.1,4.1,19.32,5.57,22.3,24.3,43.4,37.0,2.01,1.44,Drive Test Koundara 2025-Q1
MTN,FRN,Faranah,10.417518,-10.695223,MOBILE,2025-01-22T23:20:58.000Z,-88.3,-116.5,-19.1,-3.0,,,546.4,66.3,26.9,70.4,0.1,0.09,607.3,107.6,1620.7,9.0,57.81,11.0,Drive Test Faranah 2025-Q1
MTN,KKA,Kankan,10.377182,-9.297259,MOBILE,2025-02-21T16:14:45.000Z,-64.1,-75.8,-10.5,5.5,11.5,5.9,32.2,8.1,79.3,4.7,,,,,,59.0,3.92,,Drive Test Kankan 2025-Q1
MTN,KIN,Kindia,10.051989,-13.034632,INTERNET,2025-02-20T16:12:56.000Z,-65.1,-80.4,-8.3,12.8,19.0,8.0,29.1,5.8,79.0,5.0,29.32,10.44,36.0,40.0,80.8,66.0,4.17,1.03,Drive Test Kindia 2025-Q1
MTN,KDG,Kissidougou,9.25328,-9.957692,INTERNET,2025-02-03T15:02:34.000Z,-98.1,-116.3,-17.4,-9.8,,,899.2,95.7,10.0,55.1,0.32,0.11,1650.7,791.8,1822.4,0.0,31.17,36.01,Drive Test Kissidougou 2025-Q1
MTN,CYA,Coyah,9.819498,-13.209239,MOBILE,2025-03-10T05:54:25.000Z,-60.0,-71.5,-10.9,11.9,11.0,7.2,41.2,7.8,76.8,3.9,,,,,,64.0,2.79,,Drive Test Coyah 2025-Q1
MTN,MMU,Mamou,10.422631,-12.085071,MOBILE,2025-01-24T12:15:55.000Z,-96.9,-119.8,-19.6,-8.7,,,567.1,94.1,31.5,54.5,0.49,0.11,1906.5,704.8,1128.3,2.0,39.96,34.46,Drive Test Mamou 2025-Q1
MTN,CYA,Coyah,9.736919,-13.226376,INTERNET,2025-02-12T13:18:46.000Z,-56.6,-84.1,-11.3,5.6,13.3,9.8,31.7,7.5,80.0,4.5,24.99,12.2,32.6,39.7,74.4,61.0,3.2,1.64,Drive Test Coyah 2025-Q1
MTN,CYA,Coyah,9.604934,-13.591709,MOBILE,2025-02-22T19:51:02.000Z,-61.1,-70.8,-11.6,5.3,12.4,4.6,37.9,5.0,79.4,6.1,,,,,,56.0,3.62,,Drive Test Coyah 2025-Q1
MTN,MLI,Mali,11.777862,-11.952192,MOBILE,2025-03-06T05:27:30.000Z,-98.6,-112.3,-16.5,-6.4,,,402.1,84.2,0.0,74.6,0.04,0.1,1568.0,551.6,1005.0,2.0,50.14,31.83,Drive Test Mali 2025-Q1
MTN,LBE,Labé,11.42271,-12.22084,INTERNET,2025-02-28T06:17:55.000Z,-65.7,-81.1,-9.8,12.4,15.3,8.4,35.4,6.2,79.2,6.1,27.34,8.43,37.0,46.0,83.6,55.0,3.81,1.28,Drive Test Labé 2025-Q1
MTN,CYA,Coyah,9.728872,-13.381551,INTERNET,2025-01-15T20:16:50.000Z,-94.5,-110.5,-16.5,-4.7,,,792.2,144.4,10.5,61.5,0.22,0.09,1026.7,639.1,1130.8,8.0,48.51,14.93,Drive Test Coyah 2025-Q1
MTN,CON,Conakry,9.50405,-13.774886,MOBILE,2025-02-08T22:48:20.000Z,-77.7,-91.5,-12.6,10.4,12.8,7.4,37.6,8.8,92.6,7.2,,,,,,69.0,5.77,,Drive Test Conakry 2025-Q1
MTN,FRN,Faranah,10.146085,-10.861426,INTERNET,2025-01-15T19:28:46.000Z,-90.3,-106.2,-19.6,-3.4,,,460.0,94.1,8.7,63.0,0.44,0.12,537.4,326.8,1136.6,9.0,29.91,39.76,Drive Test Faranah 2025-Q1
MTN,LBE,Labé,11.293938,-12.285696,MOBILE,2025-03-02T04:32:00.000Z,-60.5,-80.7,-11.9,4.5,10.5,5.1,33.6,6.8,78.0,4.0,,,,,,56.0,4.98,,Drive Test Labé 2025-Q1
MTN,CYA,Coyah,9.775601,-13.197197,INTERNET,2025-03-29T18:25:26.000Z,-87.3,-113.2,-16.9,-10.7,,,252.2,99.0,19.7,65.5,0.17,0.04,1246.9,675.7,1229.7,14.0,58.27,31.82,Drive Test Coyah 2025-Q1
MTN,BKE,Boké,11.184745,-14.292527,MOBILE,2025-03-24T20:17:10.000Z,-97.6,-107.0,-18.5,-5.8,,,432.7,40.5,20.2,37.8,0.33,0.05,908.3,196.8,692.3,1.0,35.61,34.06,Drive Test Boké 2025-Q1
MTN,CYA,Coyah,9.621677,-13.628041,MOBILE,2025-03-11T16:40:24.000Z,-61.6,-69.2,-9.3,6.1,13.1,6.1,38.9,6.3,77.8,4.9,,,,,,67.0,4.84,,Drive Test Coyah 2025-Q1
MTN,CYA,Coyah,9.781039,-13.277792,MOBILE,2025-03-05T14:25:59.000Z,-63.3,-77.9,-8.1,11.8,11.6,6.8,31.9,4.7,79.9,4.7,,,,,,56.0,3.46,,Drive Test Coyah 2025-Q1
MTN,KIN,Kindia,10.090792,-12.79391,INTERNET,2025-03-03T05:27:42.000Z,-64.1,-87.8,-9.9,5.3,19.6,7.4,33.7,7.7,79.8,5.6,26.84,8.79,35.9,44.5,87.4,66.0,4.09,1.35,Drive Test Kindia 2025-Q1
MTN,DLB,Dalaba,10.974615,-12.039896,MOBILE,2025-01-27T07:06:19.000Z,-86.1,-119.5,-19.7,-4.4,,,266.4,84.1,21.1,58.0,0.41,0.06,1778.2,566.9,642.3,4.0,37.63,31.13,Drive Test Dalaba 2025-Q1
MTN,CON,Conakry,9.424435,-13.760325,MOBILE,2025-01-29T12:54:32.000Z,-84.6,-107.3,-17.8,-4.6,,,520.9,42.1,21.8,39.0,0.44,0.17,1708.6,311.7,441.0,9.0,43.77,39.4,Drive Test Conakry 2025-Q1
MTN,KKA,Kankan,10.346279,-9.375965,MOBILE,2025-01-15T14:58:41.000Z,-56.0,-86.8,-11.8,7.2,9.2,5.7,37.9,7.9,77.1,5.6,,,,,,60.0,5.07,,Drive Test Kankan 2025-Q1
MTN,KIN,Kindia,9.823865,-12.786441,MOBILE,2025-02-05T14:37:57.000Z,-65.9,-81.6,-9.7,9.1,10.9,4.8,27.6,7.7,78.9,6.3,,,,,,61.0,4.81,,Drive Test Kindia 2025-Q1
MTN,ZKR,N'Zérékoré,7.736415,-8.627848,MOBILE,2025-02-17T18:38:46.000Z,-91.6,-117.5,-18.3,-3.5,,,432.3,147.7,11.0,68.0,0.06,0.15,584.8,251.5,1583.8,14.0,41.1,17.08,Drive Test N'Zérékoré 2025-Q1
MTN,CON,Conakry,9.492164,-13.756193,INTERNET,2025-03-24T02:44:56.000Z,-87.9,-119.1,-16.9,-6.7,,,655.8,85.2,2.6,76.2,0.45,0.15,798.5,423.0,1035.9,2.0,57.02,12.15,Drive Test Conakry 2025-Q1
MTN,SGR,Siguiri,11.055688,-9.141168,MOBILE,2025-03-29T07:43:05.000Z,-49.4,-63.0,-4.6,4.7,9.1,5.0,22.1,3.9,60.5,4.7,,,,,,50.0,3.27,,Drive Test Siguiri 2025-Q1
MTN,CYA,Coyah,9.724064,-13.460789,INTERNET,2025-02-01T15:46:15.000Z,-92.9,-114.0,-17.6,-4.4,,,472.7,33.1,6.1,57.5,0.44,0.05,1460.9,575.7,1757.3,0.0,17.93,11.6,Drive Test Coyah 2025-Q1
MTN,CON,Conakry,9.484542,-13.658469,MOBILE,2025-01-20T06:10:53.000Z,-78.2,-100.3,-12.7,10.1,16.5,5.6,42.4,10.1,94.9,7.5,,,,,,70.0,4.49,,Drive Test Conakry 2025-Q1
MTN,CYA,Coyah,9.674679,-13.359158,MOBILE,2025-02-07T07:42:04.000Z,-86.7,-111.8,-19.8,-4.2,,,550.7,64.9,6.8,36.1,0.04,0.12,1695.4,713.1,708.2,11.0,43.17,25.5,Drive Test Coyah 2025-Q1
MTN,BKE,Boké,11.161268,-14.418897,MOBILE,2025-02-08T03:35:59.000Z,-86.5,-107.6,-19.1,-3.5,,,841.9,121.5,23.2,73.3,0.21,0.04,1010.0,560.3,913.9,12.0,17.31,18.29,Drive Test Boké 2025-Q1
MTN,MLI,Mali,11.893395,-12.047223,MOBILE,2025-03-16T08:20:39.000Z,-37.9,-47.8,-7.6,3.3,7.4,3.9,24.9,5.5,52.1,2.4,,,,,,45.0,2.92,,Drive Test Mali 2025-Q1
MTN,SGR,Siguiri,11.385732,-9.367731,MOBILE,2025-03-11T02:17:00.000Z,-45.7,-58.1,-7.7,3.2,10.1,5.2,28.3,4.8,62.7,4.1,,,,,,53.0,3.24,,Drive Test Siguiri 2025-Q1
