operateur,region,regionNom,latitude,longitude,typeMesure,timestamp,rssi,rsrp,rsrq,sinr,debitDescendant,debitMontant,latence,gigue,tauxAppelReussi,tauxDropCall,debitDownload,debitUpload,ping,dnsLookupTime,tcpConnectTime,scoreQoE,pageLoadTime,videoBuffering,campagne
ORANGE,CYA,Coyah,9.725553,-13.515442,MOBILE,2025-10-14T13:57:27.000Z,-82.2,-111.2,-18.3,-10.2,,,653.2,86.8,10.2,48.5,0.08,0.08,1692.1,489.5,1842.5,2.0,44.89,27.8,Drive Test Coyah 2025-Q4
ORANGE,CYA,Coyah,9.660895,-13.461757,MOBILE,2025-10-16T18:19:20.000Z,-82.1,-97.7,-18.6,-5.9,,,619.0,139.0,29.8,69.5,0.21,0.1,1257.7,591.6,1799.5,13.0,30.58,43.39,Drive Test Coyah 2025-Q4
ORANGE,KDG,Kissidougou,8.927069,-9.933676,MOBILE,2025-11-08T21:54:26.000Z,-49.1,-56.7,-7.9,10.2,12.5,7.5,20.2,2.9,62.8,2.0,,,,,,57.0,1.56,,Drive Test Kissidougou 2025-Q4
ORANGE,FRN,Faranah,10.042188,-10.883896,MOBILE,2025-12-27T12:01:20.000Z,-79.4,-108.7,-16.2,-11.7,,,285.9,119.8,20.3,76.2,0.02,0.03,1067.9,145.3,957.9,15.0,24.67,33.1,Drive Test Faranah 2025-Q4
ORANGE,KIN,Kindia,9.873641,-12.98938,INTERNET,2025-11-21T04:06:06.000Z,-53.7,-73.1,-5.1,10.3,19.0,12.6,21.2,4.5,81.5,3.3,39.13,12.41,24.0,24.4,40.3,69.0,2.36,0.52,Drive Test Kindia 2025-Q4
ORANGE,BLA,Beyla,8.82683,-8.391728,MOBILE,2025-11-05T16:20:12.000Z,-47.8,-63.5,-3.9,12.0,11.6,6.1,20.7,3.2,63.3,2.3,,,,,,49.0,2.44,,Drive Test Beyla 2025-Q4
ORANGE,ZKR,N'Zérékoré,7.850562,-8.901891,MOBILE,2025-11-10T00:33:37.000Z,-50.6,-62.4,-5.7,14.7,13.3,9.0,25.8,2.9,79.6,2.1,,,,,,68.0,2.39,,Drive Test N'Zérékoré 2025-Q4
ORANGE,ZKR,N'Zérékoré,7.809188,-8.968136,MOBILE,2025-12-31T12:16:51.000Z,-62.3,-81.0,-6.1,7.8,18.1,8.3,23.8,5.0,78.5,2.2,,,,,,72.0,3.12,,Drive Test N'Zérékoré 2025-Q4
ORANGE,MLI,Mali,12.048867,-12.173354,MOBILE,2025-12-23T04:39:33.000Z,-40.3,-63.8,-5.1,12.8,12.8,7.1,20.3,3.8,61.8,1.6,,,,,,57.0,1.57,,Drive Test Mali 2025-Q4
ORANGE,SGR,Siguiri,11.203662,-9.274056,INTERNET,2025-10-15T10:01:56.000Z,-76.4,-98.4,-17.1,-11.5,,,225.0,146.5,31.1,58.1,0.19,0.17,474.8,593.6,471.7,12.0,29.85,40.66,Drive Test Siguiri 2025-Q4
