regionCode,latitude,longitude,typeMesure,timestamp,rssi,rsrp,rsrq,sinr,debitDescendant,debitMontant,latence,gigue,tauxAppelReussi,tauxDropCall,debitDownload,debitUpload,ping,dnsLookupTime,tcpConnectTime,scoreQoE,pageLoadTime,videoBuffering
CON,9.58,-13.64,INTERNET,2025-03-05T06:49:23.476000Z,,,,,,,,,,,5.83,0.01,431.68,260.02,1976.29,,,
CON,9.41,-13.74,INTERNET,2025-02-10T13:55:38.999000Z,,,,,,,,,,,4.36,6.68,63.66,38.88,353.61,,,
CON,9.49,-13.81,INTERNET,2025-02-17T10:56:39.447000Z,,,,,,,,,,,12.94,4.58,59.74,18.88,227.09,,,
CON,9.44,-13.77,DRIVE_TEST,2025-01-31T14:35:17.268000Z,-81.33,-84.69,-9.43,10.48,6.12,3.73,65.93,14.55,80.9,5.91,0.01,5.18,81.31,49.82,319.93,45.21,5.39,5.44
CYA,9.86,-13.41,INTERNET,2025-02-15T20:32:20.095000Z,,,,,,,,,,,7.62,4.15,73.76,31.85,287.77,,,
CYA,9.66,-13.26,INTERNET,2025-02-25T20:49:40.097000Z,,,,,,,,,,,9.94,5.04,76.75,23.7,253.57,,,
CYA,9.69,-13.48,MOBILE,2025-01-11T10:21:52.886000Z,-72.25,-103.08,-9.59,3.98,5.89,4.74,74.43,11.78,86.94,8.52,,,,,,,,
CYA,9.85,-13.45,MOBILE,2025-01-21T04:48:00.741000Z,-94.04,-106.14,-17.36,1.03,7.25,0,314.14,58.77,20.17,36.84,,,,,,,,
CYA,9.76,-13.51,INTERNET,2025-02-20T03:11:51.291000Z,,,,,,,,,,,8.31,4.19,65.23,37.48,279.34,,,
CYA,9.73,-13.31,DRIVE_TEST,2025-03-29T16:50:01.754000Z,-108.25,-109.78,-18.49,0.03,0.96,1.91,335.09,61.94,30.55,39.41,0.46,5.73,386.52,223.14,1681.92,16.08,27.89,33.37
KIN,10.08,-12.92,INTERNET,2025-01-04T14:16:34.154000Z,,,,,,,,,,,10.17,5.28,69.8,44.91,309.59,,,
KIN,10.19,-12.86,MOBILE,2025-02-20T16:51:33.813000Z,-69.81,-87.07,-10.57,8.13,9.6,4.15,53.7,14.57,100,6.97,,,,,,,,
KIN,10.05,-12.72,DRIVE_TEST,2025-01-15T18:00:05.125000Z,-91.1,-107.06,-16.41,5.08,3.6,1.54,176.42,39.29,26.36,23.11,4.04,1.45,206.27,118,989.99,27.4,16.39,17.16
KIN,10.07,-12.77,INTERNET,2025-03-30T07:49:00.929000Z,,,,,,,,,,,1.63,3.4,375.22,195.87,1595.67,,,
KIN,9.96,-12.82,MOBILE,2025-01-01T12:38:59.567000Z,-74.01,-87.27,-9.7,7.82,1.7,1.94,57.67,11.04,98.56,6.44,,,,,,,,
KIN,9.92,-12.98,MOBILE,2025-02-10T22:58:20.939000Z,-65.43,-83.59,-10.45,5.12,16.79,3,72.81,12.15,89,8.27,,,,,,,,
BOK,11.33,-14.21,INTERNET,2025-03-05T17:00:25.683000Z,,,,,,,,,,,4.61,0.52,161.88,77.85,647.25,,,
KDR,12.61,-13.46,INTERNET,2025-02-05T13:29:09.296000Z,,,,,,,,,,,6.19,0.01,119.72,70.23,633.23,,,
KDR,12.4,-13.18,DRIVE_TEST,2025-02-25T03:50:50.903000Z,-86.62,-96.94,-16.9,5.12,9.51,0,116.18,24.65,42.76,20.62,1.75,0.01,122.94,55.29,581.37,17.27,11.26,12.69
KDR,12.49,-13.2,DRIVE_TEST,2025-01-11T05:44:45.570000Z,-89.05,-102.67,-18.23,-0.23,4.93,2.82,362.39,63.38,6.8,40.11,5.45,1.69,402.13,229.82,1857.67,6.66,28.55,35.82
KDR,12.45,-13.46,DRIVE_TEST,2025-03-07T01:43:26.215000Z,-110.25,-113.38,-20,-0.41,3.36,0,385.84,74.18,14.62,46.31,1.14,3.61,445.82,254.98,1991.91,21.35,33.9,42.91
LAB,11.18,-12.27,INTERNET,2025-03-06T15:28:02.231000Z,,,,,,,,,,,4.4,1.9,121.15,72.01,537.97,,,
LAB,11.28,-12.29,INTERNET,2025-02-18T10:15:16.593000Z,,,,,,,,,,,3.81,0.35,250.32,136.69,1096.26,,,
MLI,11.87,-12.27,DRIVE_TEST,2025-02-11T02:11:56.729000Z,-81.12,-100.99,-11.6,-0.42,3.64,0.83,106.86,20.51,48.43,9.1,1.39,5.05,126.52,57.02,562.96,20.32,10.5,10.45
DLB,10.96,-12.4,INTERNET,2025-01-04T14:59:31.447000Z,,,,,,,,,,,0.01,1.11,326.39,179.82,1475.63,,,
DLB,11.05,-12.16,DRIVE_TEST,2025-02-16T03:57:44.210000Z,-95.61,-107.7,-13.66,2.35,4.41,0.76,192.26,33.23,25.53,22.3,3.97,2.13,207.7,128.06,929.27,17.47,14.55,21.4
DLB,11.06,-12.19,INTERNET,2025-02-09T22:08:43.197000Z,,,,,,,,,,,2.01,0.01,247.67,139.07,1154.3,,,
DLB,10.88,-12.27,MOBILE,2025-03-03T09:24:15.256000Z,-104.96,-102.24,-17.3,-1.91,5.31,0,192.87,32.06,33.48,24.68,,,,,,,,
MAM,10.44,-12,MOBILE,2025-02-11T01:51:54.885000Z,-70.68,-89.85,-8.16,11.95,8.19,2.71,68.27,10.46,100,3.6,,,,,,,,
MAM,10.43,-12.18,INTERNET,2025-02-19T20:45:32.285000Z,,,,,,,,,,,0.01,1.15,82.03,38.81,354.48,,,
MAM,10.58,-11.98,DRIVE_TEST,2025-02-08T03:47:42.118000Z,-74.87,-90.09,-10.82,9.6,11.7,7.9,83.01,8.67,96.03,5.31,4.63,4.14,44.76,50.94,268.41,38.74,3.52,7.08
MAM,10.56,-12.01,MOBILE,2025-01-16T23:48:23.877000Z,-91.75,-111.44,-16.83,3.73,3.34,3.77,236.32,39.6,20.03,29.86,,,,,,,,
MAM,10.53,-12.01,DRIVE_TEST,2025-03-28T11:19:29.772000Z,-97.31,-116.54,-15.39,3.85,0,1.82,261.31,47.97,12.25,33.66,0.01,0.01,298.49,168.63,1247.18,2.92,21.96,23.57
FAR,10.08,-10.6,INTERNET,2025-03-24T04:19:37.582000Z,,,,,,,,,,,0.01,0.01,163.47,91.83,725.58,,,
FAR,10.1,-10.64,DRIVE_TEST,2025-01-06T11:10:37.454000Z,-92.35,-109.04,-18.12,0.6,0.2,0,351.15,72.88,12.91,40.52,0.01,3.39,399.44,216.94,1786.28,19.11,28.6,37.48
FAR,10.01,-10.86,DRIVE_TEST,2025-01-29T13:57:23.139000Z,-93.77,-99.1,-16.03,-4.36,1.03,1.36,155.6,29.81,36.2,18.78,6.36,1.92,182.35,108.05,789.9,17.22,11.9,14.55
FAR,9.98,-10.75,MOBILE,2025-01-14T10:42:30.731000Z,-105.91,-108.46,-14.74,4.14,3.38,2.33,193.5,42.66,23.6,22.47,,,,,,,,
FAR,10.06,-10.81,DRIVE_TEST,2025-02-15T11:35:15.831000Z,-99.69,-118.56,-12.56,-2.98,1.11,3.17,381.4,75.21,12.37,45.51,0.01,0.01,434.05,242.34,1935.84,2.53,30.6,40.91
KDG,9.17,-10.01,MOBILE,2025-03-13T21:15:01.691000Z,-96.56,-119.25,-14.33,3.29,0.98,2.18,191.1,38.1,20.46,23.61,,,,,,,,
KDG,9.05,-10.25,DRIVE_TEST,2025-03-06T19:41:56.401000Z,-96.22,-118.54,-16.75,4.02,6.16,0,109.22,22.31,52.65,13.3,5.23,0.52,144.12,74.87,532.33,43.38,8.06,10.29
KAN,10.53,-9.28,MOBILE,2025-03-19T03:31:35.795000Z,-76.73,-96.51,-12.31,12.9,4.17,5.69,50.15,8.85,83.09,6.64,,,,,,,,
SGR,11.52,-9.29,DRIVE_TEST,2025-03-19T11:45:14.822000Z,-95.08,-113.18,-17.22,0.58,5.68,4.43,171.9,32.76,25.93,21.86,1.07,2.21,214.57,107.5,841.43,28.42,16.19,19.83
GKD,8.56,-10.11,INTERNET,2025-03-25T12:28:33.287000Z,,,,,,,,,,,2.36,1,319.48,184.17,1403.13,,,
GKD,8.64,-10.28,DRIVE_TEST,2025-02-01T03:00:05.939000Z,-94.86,-100.24,-15.82,0.05,0.58,0,146.28,31.8,34.25,19.22,7.23,0.79,151.38,83.52,796.89,47.54,12.46,16.44
GKD,8.66,-10.19,INTERNET,2025-03-08T00:06:21.710000Z,,,,,,,,,,,0.01,2.33,207.75,127.38,964.17,,,
GKD,8.7,-10.16,MOBILE,2025-01-25T12:21:59.921000Z,-97.51,-114.64,-16.07,3,0.75,0.48,160.07,26.16,38.26,18.82,,,,,,,,
GKD,8.48,-10.15,DRIVE_TEST,2025-01-12T18:46:10.488000Z,-88.26,-107.14,-9.74,2.02,4.73,0,115.82,26.24,38.23,15.13,6.89,3.3,132.42,75.75,628.22,23.95,10.68,11.98
BLA,8.8,-8.59,DRIVE_TEST,2025-01-29T12:53:06.391000Z,-99.07,-105.01,-15.43,3.28,4.58,2.21,273.44,51.72,18.76,31.78,0.01,0.05,293.76,159.66,1309.92,0,21.05,24.76
BLA,8.6,-8.72,INTERNET,2025-03-24T07:54:19.639000Z,,,,,,,,,,,6.93,0.95,219.63,125.15,975.72,,,
NZE,7.84,-8.77,DRIVE_TEST,2025-03-16T15:46:00.989000Z,-98.35,-110.58,-16.09,-2.17,1.71,0.2,276.19,55.15,24.04,32.94,6.51,0.01,294.55,165.09,1377.83,10.83,23.13,28.73
NZE,7.67,-8.78,INTERNET,2025-03-10T06:08:30.855000Z,,,,,,,,,,,5.17,0.27,288.63,157.01,1232.79,,,
