regionCode,latitude,longitude,typeMesure,timestamp,rssi,rsrp,rsrq,sinr,debitDescendant,debitMontant,latence,gigue,tauxAppelReussi,tauxDropCall,debitDownload,debitUpload,ping,dnsLookupTime,tcpConnectTime,scoreQoE,pageLoadTime,videoBuffering
CON,9.5,-13.7,DRIVE_TEST,2025-07-03T20:33:45.506000Z,-105.05,-131.88,-20,-2.71,0,0,786.83,161.89,1.33,91.52,0.01,0.01,853.01,414.39,3598.25,1.39,54.93,100.4
CON,9.44,-13.75,INTERNET,2025-07-18T23:47:20.114000Z,,,,,,,,,,,0.01,0.06,444.05,220.55,1885.49,,,
CON,9.43,-13.7,DRIVE_TEST,2025-08-18T01:05:40.105000Z,-104.88,-122.24,-18.17,-0.67,4.04,2.34,508.76,111.7,14.05,59.45,0.01,0.88,549.63,282.5,2311.89,0.47,35.92,63.35
CON,9.57,-13.71,DRIVE_TEST,2025-07-23T14:11:19.429000Z,-105.31,-113.55,-13.88,3.27,0,1.37,378.07,77.92,25.61,46.38,0.01,2.54,439.31,212.73,1791.33,14.19,26.1,42.48
CON,9.44,-13.8,INTERNET,2025-09-09T02:14:49.320000Z,,,,,,,,,,,7.72,2.87,111.12,67.35,483.15,,,
CYA,9.71,-13.37,DRIVE_TEST,2025-08-14T03:09:28.530000Z,-80.87,-98.93,-13.68,10.13,4.86,2.49,101.22,23.55,73.57,14.03,2.87,0.01,114.25,46.29,563.97,25.38,7.89,12.2
CYA,9.81,-13.24,INTERNET,2025-09-28T08:02:41.480000Z,,,,,,,,,,,0.01,0.01,446.25,225.66,1927.94,,,
CYA,9.79,-13.45,INTERNET,2025-09-22T17:34:14.790000Z,,,,,,,,,,,4.4,1.48,130.78,67.31,504.38,,,
CYA,9.73,-13.28,MOBILE,2025-09-09T03:51:16.861000Z,-75.02,-99.71,-15.36,1.48,5.91,0.41,107.86,27.85,75.57,10.74,,,,,,,,
CYA,9.64,-13.31,MOBILE,2025-07-14T01:39:12.491000Z,-107.89,-115.94,-19.77,1.48,0.75,0,456.44,94.43,20.12,51.63,,,,,,,,
