regionCode,latitude,longitude,typeMesure,timestamp,rssi,rsrp,rsrq,sinr,debitDescendant,debitMontant,latence,gigue,tauxAppelReussi,tauxDropCall,debitDownload,debitUpload,ping,dnsLookupTime,tcpConnectTime,scoreQoE,pageLoadTime,videoBuffering
CON,9.42,-13.6,MOBILE,2025-02-04T07:35:16.076000Z,-69.9,-72.24,-7.47,11.52,15.76,7.05,38.9,1.76,94.54,5.04,,,,,,,,
CON,9.47,-13.66,INTERNET,2025-02-21T10:28:06.820000Z,,,,,,,,,,,5.09,1.42,181.41,95.51,762.74,,,
CON,9.39,-13.64,INTERNET,2025-02-24T20:34:12.247000Z,,,,,,,,,,,19.74,9.07,52.41,32.1,195.59,,,
CON,9.45,-13.74,INTERNET,2025-01-12T23:35:13.569000Z,,,,,,,,,,,9.75,2.52,149.38,85.89,637.8,,,
CON,9.54,-13.68,DRIVE_TEST,2025-01-26T11:03:01.421000Z,-96.61,-94.3,-12.04,3.49,5.5,1.5,188.37,33.42,18.25,20.83,1.49,0.01,217.48,149.84,900.26,4.22,18.96,17.52
CON,9.39,-13.73,INTERNET,2025-03-10T12:57:38.350000Z,,,,,,,,,,,0.87,3.54,182.66,117.74,777.78,,,
CON,9.57,-13.78,INTERNET,2025-01-29T10:14:58.167000Z,,,,,,,,,,,25.06,6.26,46.72,19.63,192.32,,,
CYA,9.79,-13.26,MOBILE,2025-03-07T05:02:47.106000Z,-59.26,-85.39,-9.62,14.01,19.16,12.51,37.92,0.87,100,3.65,,,,,,,,
CYA,9.61,-13.35,MOBILE,2025-03-19T23:39:06.542000Z,-90.37,-97.01,-10.87,4.09,2.83,0,236.55,38.91,11.24,22.79,,,,,,,,
CYA,9.61,-13.37,INTERNET,2025-01-17T06:29:24.849000Z,,,,,,,,,,,23.1,13.11,22.91,31.07,195.54,,,
CYA,9.66,-13.24,INTERNET,2025-03-10T18:28:04.762000Z,,,,,,,,,,,14.28,11.04,34.81,21.53,183.45,,,
CYA,9.78,-13.35,MOBILE,2025-02-02T18:31:45.807000Z,-99.54,-104.42,-10.42,0.94,5.07,2.45,148.42,17.96,19.25,17.75,,,,,,,,
CYA,9.63,-13.48,DRIVE_TEST,2025-03-21T14:06:38.532000Z,-61.36,-81.74,-5.88,15.15,16.27,8.69,47.31,5.34,93.06,3.96,25.23,10.97,61.87,9.08,215.41,85.03,1.59,5.14
CYA,9.75,-13.29,MOBILE,2025-01-22T07:52:51.806000Z,-77.69,-75.53,-11.06,8.88,9.41,8.49,30.94,2.97,99.24,1.9,,,,,,,,
KIN,10.08,-12.83,DRIVE_TEST,2025-02-18T04:54:37.856000Z,-67.9,-85.41,-10.49,14.15,15.23,13.64,32.91,3.36,100,0.1,18.84,10.38,19.19,26.22,150.9,74.42,3.07,1.65
BOK,11.21,-14.18,DRIVE_TEST,2025-03-31T02:05:04.229000Z,-86.35,-100.94,-15.34,0.43,0.8,2.64,182.24,30.84,13.42,17.94,2.43,0.01,216.47,119.9,877.39,18.67,17,13.01
BOK,11.15,-14.29,DRIVE_TEST,2025-03-19T14:51:57.162000Z,-74.37,-91.71,-12.36,2.46,7.26,4.55,36.32,6.29,59.33,5.78,1.43,6.25,75.45,41.73,317.47,37.47,5.88,1.96
BOK,11.1,-14.32,MOBILE,2025-03-10T18:32:44.190000Z,-91.97,-113.18,-12.05,2.2,6.95,5.4,148.54,24.78,22.1,11.47,,,,,,,,
BOK,11.24,-14.38,INTERNET,2025-03-03T04:29:02.346000Z,,,,,,,,,,,4.03,0.01,129.83,83.89,515.03,,,
BOK,11.21,-14.17,DRIVE_TEST,2025-01-09T13:02:32.011000Z,-97.33,-97.23,-13.81,4.35,0,2.51,115.83,18,38.99,10.75,1.85,1.74,137.31,84.65,540.52,10.69,10.15,8.22
KDR,12.58,-13.18,MOBILE,2025-02-18T06:39:47.008000Z,-75.88,-94.65,-12.4,6.29,6.08,7.32,74.91,6.76,55.04,10.69,,,,,,,,
KDR,12.54,-13.36,DRIVE_TEST,2025-01-26T20:20:51.952000Z,-84.09,-89.76,-9.41,9.19,5.97,5.06,56.33,8.94,59.84,3.85,12.17,5.66,93.21,39.85,319.27,35.79,3.84,6.62
KDR,12.55,-13.37,DRIVE_TEST,2025-03-29T20:50:24.171000Z,-90.66,-91.28,-10.65,0.3,14.65,4.63,73.45,14.8,46.52,7.63,6.56,7.79,72.32,68.62,350.5,20.65,7.64,3.4
KDR,12.53,-13.31,MOBILE,2025-02-18T06:37:32.523000Z,-76.04,-94.07,-10.03,2.99,1.74,5.05,67.36,10.15,46.64,7.1,,,,,,,,
KDR,12.42,-13.33,INTERNET,2025-03-04T04:53:21.462000Z,,,,,,,,,,,9.25,4.11,67.18,45.92,267.11,,,
LAB,11.43,-12.16,INTERNET,2025-03-03T01:03:23.070000Z,,,,,,,,,,,17,5.19,56.12,33.58,250.55,,,
