regionCode,latitude,longitude,typeMesure,timestamp,rssi,rsrp,rsrq,sinr,debitDescendant,debitMontant,latence,gigue,tauxAppelReussi,tauxDropCall,debitDownload,debitUpload,ping,dnsLookupTime,tcpConnectTime,scoreQoE,pageLoadTime,videoBuffering
CON,9.41,-13.7,MOBILE,2025-05-13T19:00:54.841000Z,-64.5,-84.58,-6.12,13.9,15.49,12.29,30.29,7.66,100,1.89,,,,,,,,
CON,9.54,-13.62,INTERNET,2025-05-10T11:15:35.582000Z,,,,,,,,,,,27.83,14.96,20.11,15.09,83.19,,,
CON,9.42,-13.67,DRIVE_TEST,2025-06-18T02:08:31.320000Z,-65.84,-85.5,-7.04,17.34,20.99,8.59,12.14,1.68,100,3.94,25.36,13.32,32.73,20.63,99.73,71.16,0.88,2.91
CON,9.39,-13.81,MOBILE,2025-04-22T00:07:30.166000Z,-64.83,-69.32,-7.3,17,24.03,7.52,17.03,0,100,1.75,,,,,,,,
CON,9.42,-13.84,DRIVE_TEST,2025-06-20T14:04:11.456000Z,-58.34,-74.96,-6.23,21.36,21.57,13.95,35.02,9.26,100,3.89,26.15,11.15,11.5,23.74,113.95,100,2.52,0.93
CON,9.38,-13.83,INTERNET,2025-06-26T18:29:26.958000Z,,,,,,,,,,,33.64,13.06,12.53,21.84,83.26,,,
CON,9.41,-13.79,INTERNET,2025-06-08T03:32:21.183000Z,,,,,,,,,,,20.99,11.48,24.83,19.14,110.06,,,
CYA,9.83,-13.49,DRIVE_TEST,2025-06-24T00:19:24.124000Z,-77.22,-93.16,-11.68,5.11,0.32,1.54,113.1,14.91,13.39,13.18,4.42,1.02,138.25,71.16,512.7,22.7,12.3,0.8
CYA,9.8,-13.28,INTERNET,2025-05-09T18:00:01.434000Z,,,,,,,,,,,28.35,13.4,14.18,14.62,119,,,
CYA,9.6,-13.3,DRIVE_TEST,2025-06-25T01:13:08.057000Z,-58.79,-77.63,-7.04,10.2,23.66,8.77,29.81,5.8,100,0.51,26.65,16.8,26.34,20.16,144.64,84.62,2.63,0
CYA,9.76,-13.49,INTERNET,2025-05-18T02:51:45.121000Z,,,,,,,,,,,17.32,15.32,34.07,1.99,81.41,,,
CYA,9.83,-13.45,DRIVE_TEST,2025-06-09T08:15:51.485000Z,-58.54,-72.03,-5.22,17.52,21.68,8.64,24.41,0,100,3.53,27.38,15.05,17.96,23.3,74.09,100,0.5,1.24
CYA,9.6,-13.5,DRIVE_TEST,2025-04-07T05:58:12.958000Z,-59.58,-77.09,-3.55,12.87,21.6,12.1,28.65,1.37,100,0.66,27,15.56,23.92,24.48,100.17,94.45,1.72,2.33
CYA,9.64,-13.26,MOBILE,2025-06-30T17:39:03.755000Z,-59.6,-59.53,-5.33,14.01,19.24,11.87,23.04,0,94.38,0,,,,,,,,
KIN,10.07,-12.79,MOBILE,2025-06-13T02:47:06.647000Z,-69.69,-74.26,-3.19,14.15,24.91,11.43,21.92,6.78,100,3.56,,,,,,,,
KIN,9.93,-12.79,INTERNET,2025-05-20T18:45:24.521000Z,,,,,,,,,,,5.25,0.01,170.39,112.53,742.61,,,
KIN,10.07,-12.89,INTERNET,2025-06-16T00:17:10.972000Z,,,,,,,,,,,26.66,16.03,19.24,9.21,45.23,,,
KIN,10.05,-12.82,INTERNET,2025-05-16T11:09:44.884000Z,,,,,,,,,,,23.31,13.85,30.74,18.11,106.64,,,
KIN,10.2,-12.75,MOBILE,2025-05-15T10:34:59.380000Z,-56.23,-75.47,-6.84,13.47,17.61,12.79,31.73,1.47,100,0.72,,,,,,,,
KIN,9.92,-12.76,DRIVE_TEST,2025-04-29T21:08:10.454000Z,-53.88,-74.73,-5.96,20.65,22.84,13.48,20.36,4.52,100,0.41,34.5,13.85,36.74,10.67,139.57,85.74,2.56,1.25
BOK,11.22,-14.28,INTERNET,2025-04-08T12:17:14.349000Z,,,,,,,,,,,9.66,8.86,51.22,23.27,189.49,,,
BOK,11.09,-14.32,INTERNET,2025-04-29T16:44:30.232000Z,,,,,,,,,,,11.04,2.65,188.93,95.06,644.4,,,
BOK,11.22,-14.27,MOBILE,2025-06-16T07:14:51.048000Z,-81.76,-86.95,-8.33,10.62,12.4,7.52,35.31,5.18,68.49,6,,,,,,,,
