operateur,region,latitude,longitude,typeMesure,timestamp,debitDownload,debitUpload,ping,dnsLookupTime,tcpConnectTime,scoreQoE,pageLoadTime,videoBuffering,campagne
CELCOM,CON,10.1,-12.8,INTERNET,2025-01-31T10:40:00Z,15.5,5.8,66.6,19.3,68.1,53,2.7,1.1,QoS Internet Conakry T1 2025
CELCOM,CON,10.1,-12.9,INTERNET,2025-03-31T11:01:00Z,16.6,5.1,45.9,17.9,60.3,62,4.0,1.2,QoS Internet Conakry T1 2025
CELCOM,CON,10.0,-12.9,INTERNET,2025-04-08T14:19:00Z,15.3,5.6,54.9,16.9,49.6,53,2.9,1.1,QoS Internet Conakry T1 2025
CELCOM,CON,10.1,-12.9,INTERNET,2025-03-30T10:07:00Z,11.8,4.6,68.1,19.0,74.7,58,4.1,1.4,QoS Internet Conakry T1 2025
CELCOM,CON,10.0,-12.9,INTERNET,2025-03-18T09:26:00Z,11.6,5.4,54.8,17.4,70.1,65,2.9,1.1,QoS Internet Conakry T1 2025
CELCOM,CON,10.1,-12.9,INTERNET,2025-02-06T09:07:00Z,13.9,5.2,59.2,17.2,71.4,67,3.0,1.1,QoS Internet Conakry T1 2025
CELCOM,CON,10.1,-12.8,INTERNET,2025-01-17T11:13:00Z,12.4,4.7,50.8,19.8,65.7,56,3.5,1.9,QoS Internet Conakry T1 2025
CELCOM,CON,10.1,-12.9,INTERNET,2025-02-28T15:29:00Z,14.1,4.8,50.2,14.7,59.4,66,3.1,1.4,QoS Internet Conakry T1 2025
CELCOM,CON,10.1,-12.9,INTERNET,2025-03-30T15:10:00Z,13.9,5.8,56.1,22.1,69.5,62,3.7,1.4,QoS Internet Conakry T1 2025
CELCOM,CON,10.1,-12.9,INTERNET,2025-03-28T16:23:00Z,13.7,5.8,69.7,21.4,73.9,62,4.2,1.9,QoS Internet Conakry T1 2025
CELCOM,CON,10.0,-12.8,INTERNET,2025-03-23T16:25:00Z,13.0,5.6,54.4,15.0,63.6,58,4.0,1.2,QoS Internet Conakry T1 2025
CELCOM,CON,10.1,-12.9,INTERNET,2025-02-24T09:45:00Z,15.7,5.8,59.6,19.7,68.2,60,2.8,1.3,QoS Internet Conakry T1 2025
CELCOM,CON,10.1,-12.9,INTERNET,2025-04-02T10:36:00Z,15.4,4.6,53.4,15.9,65.9,60,4.4,1.4,QoS Internet Conakry T1 2025
CELCOM,CON,10.1,-12.9,INTERNET,2025-01-30T21:10:00Z,12.5,4.0,45.7,18.3,51.8,52,3.4,1.2,QoS Internet Conakry T1 2025
CELCOM,CON,10.1,-12.9,INTERNET,2025-03-07T09:57:00Z,13.1,4.0,57.2,23.3,60.8,57,3.2,1.4,QoS Internet Conakry T1 2025
CELCOM,CON,10.1,-12.8,INTERNET,2025-01-25T16:31:00Z,15.1,4.9,66.9,28.9,62.4,58,3.7,1.1,QoS Internet Conakry T1 2025
CELCOM,CON,10.0,-12.8,INTERNET,2025-01-21T09:08:00Z,15.1,4.9,49.6,14.7,63.3,58,4.2,1.9,QoS Internet Conakry T1 2025
CELCOM,CON,10.1,-12.8,INTERNET,2025-01-21T15:56:00Z,16.5,4.2,53.6,19.8,66.3,56,2.9,1.2,QoS Internet Conakry T1 2025
CELCOM,CON,10.1,-12.8,INTERNET,2025-03-14T10:08:00Z,14.5,5.7,68.1,25.5,80.0,60,3.0,1.5,QoS Internet Conakry T1 2025
CELCOM,CON,10.1,-12.9,INTERNET,2025-03-18T15:20:00Z,11.7,5.5,63.4,20.6,79.1,56,3.8,1.8,QoS Internet Conakry T1 2025
CELCOM,CON,10.0,-12.8,INTERNET,2025-01-24T10:31:00Z,12.4,5.6,50.0,14.0,48.6,61,3.5,1.8,QoS Internet Conakry T1 2025
CELCOM,KIN,10.0,-12.3,INTERNET,2025-02-23T21:41:00Z,11.4,3.1,77.9,33.7,98.3,42,5.7,1.7,QoS Internet Kindia T1 2025
CELCOM,KIN,10.1,-12.3,INTERNET,2025-02-19T20:10:00Z,10.1,2.9,81.4,22.9,75.6,34,4.9,1.8,QoS Internet Kindia T1 2025
CELCOM,KIN,10.0,-12.3,INTERNET,2025-03-16T21:22:00Z,8.2,3.4,70.1,24.6,77.4,35,4.4,1.6,QoS Internet Kindia T1 2025
CELCOM,KIN,10.1,-12.3,INTERNET,2025-04-08T20:46:00Z,8.6,3.0,74.7,27.5,82.8,36,3.9,1.8,QoS Internet Kindia T1 2025
CELCOM,KIN,10.0,-12.3,INTERNET,2025-01-29T14:07:00Z,8.9,2.9,68.3,20.6,78.7,45,4.7,1.6,QoS Internet Kindia T1 2025
CELCOM,KIN,10.0,-12.3,INTERNET,2025-02-18T21:13:00Z,10.3,3.8,75.1,19.8,72.2,49,5.3,2.5,QoS Internet Kindia T1 2025
CELCOM,KIN,10.1,-12.3,INTERNET,2025-02-14T11:20:00Z,9.1,3.4,99.7,37.8,106.5,34,6.2,2.6,QoS Internet Kindia T1 2025
CELCOM,KIN,10.0,-12.3,INTERNET,2025-02-05T09:38:00Z,7.8,4.0,81.9,22.1,72.7,45,4.5,1.8,QoS Internet Kindia T1 2025
CELCOM,KIN,10.0,-12.3,INTERNET,2025-03-20T11:48:00Z,9.0,3.8,81.1,31.7,106.7,38,5.0,2.0,QoS Internet Kindia T1 2025
CELCOM,KIN,10.1,-12.3,INTERNET,2025-01-16T16:19:00Z,10.9,4.0,97.5,35.8,90.6,45,5.6,1.5,QoS Internet Kindia T1 2025
CELCOM,KIN,10.1,-12.3,INTERNET,2025-03-08T14:42:00Z,8.0,3.6,90.0,30.4,87.4,35,6.1,2.0,QoS Internet Kindia T1 2025
CELCOM,KIN,10.1,-12.3,INTERNET,2025-01-28T15:56:00Z,11.4,4.2,96.6,28.3,123.7,40,4.6,2.3,QoS Internet Kindia T1 2025
CELCOM,KIN,10.0,-12.3,INTERNET,2025-02-19T15:12:00Z,9.2,3.7,80.4,27.5,105.0,47,4.5,2.7,QoS Internet Kindia T1 2025
CELCOM,KIN,10.1,-12.3,INTERNET,2025-03-19T11:29:00Z,9.0,3.6,70.6,24.5,64.1,39,4.9,1.8,QoS Internet Kindia T1 2025
CELCOM,BOK,11.0,-14.2,INTERNET,2025-03-31T10:03:00Z,5.3,2.3,116.3,33.3,147.3,29,8.8,4.8,QoS Internet Boké T1 2025
CELCOM,BOK,11.1,-14.2,INTERNET,2025-03-27T11:05:00Z,6.1,1.9,171.7,53.8,153.5,31,7.7,4.2,QoS Internet Boké T1 2025
CELCOM,BOK,11.1,-14.2,INTERNET,2025-03-05T20:25:00Z,5.1,1.8,132.9,48.0,156.7,21,9.1,4.2,QoS Internet Boké T1 2025
CELCOM,BOK,11.0,-14.2,INTERNET,2025-02-09T15:08:00Z,5.2,1.8,172.3,59.1,165.5,29,10.2,2.8,QoS Internet Boké T1 2025
CELCOM,BOK,11.0,-14.2,INTERNET,2025-03-23T21:44:00Z,6.1,2.0,140.4,47.2,148.9,16,9.0,4.8,QoS Internet Boké T1 2025
CELCOM,BOK,11.0,-14.2,INTERNET,2025-03-09T10:48:00Z,6.2,2.1,136.9,50.8,174.7,30,6.8,4.5,QoS Internet Boké T1 2025
CELCOM,BOK,11.0,-14.2,INTERNET,2025-01-31T20:42:00Z,6.4,2.0,116.6,31.7,145.2,26,8.0,2.8,QoS Internet Boké T1 2025
CELCOM,BOK,11.0,-14.2,INTERNET,2025-02-21T21:44:00Z,6.1,2.1,160.3,43.6,155.5,18,9.8,3.7,QoS Internet Boké T1 2025
CELCOM,LAB,11.4,-12.5,INTERNET,2025-02-12T11:19:00Z,8.2,2.8,122.3,36.4,111.2,24,8.3,3.0,QoS Internet Labé T1 2025
CELCOM,LAB,11.3,-12.5,INTERNET,2025-02-15T14:06:00Z,6.8,2.1,96.7,32.2,126.9,35,8.2,3.1,QoS Internet Labé T1 2025
CELCOM,LAB,11.4,-12.5,INTERNET,2025-04-03T21:54:00Z,6.0,2.0,97.7,38.4,96.3,30,7.7,2.5,QoS Internet Labé T1 2025
CELCOM,LAB,11.4,-12.5,INTERNET,2025-03-17T15:18:00Z,7.0,2.7,110.4,42.5,102.4,29,6.7,2.2,QoS Internet Labé T1 2025
CELCOM,LAB,11.3,-12.5,INTERNET,2025-03-14T10:36:00Z,5.7,2.7,124.0,42.2,158.7,28,5.7,3.7,QoS Internet Labé T1 2025
CELCOM,LAB,11.4,-12.5,INTERNET,2025-03-14T15:00:00Z,8.0,2.5,108.3,41.8,113.9,23,7.5,2.7,QoS Internet Labé T1 2025
CELCOM,LAB,11.4,-12.5,INTERNET,2025-03-28T16:29:00Z,6.4,2.8,105.9,35.1,135.9,32,6.6,2.9,QoS Internet Labé T1 2025
CELCOM,LAB,11.4,-12.5,INTERNET,2025-04-09T11:36:00Z,7.4,2.3,126.1,46.1,143.2,31,8.2,2.2,QoS Internet Labé T1 2025
CELCOM,LAB,11.3,-12.5,INTERNET,2025-01-18T11:14:00Z,8.2,2.5,129.3,56.1,159.8,34,6.1,3.7,QoS Internet Labé T1 2025
CELCOM,LAB,11.4,-12.5,INTERNET,2025-02-06T20:48:00Z,5.8,2.3,92.4,36.4,99.3,28,7.5,2.2,QoS Internet Labé T1 2025
CELCOM,KAN,10.4,-9.3,INTERNET,2025-02-06T16:06:00Z,10.0,3.1,83.9,25.7,90.0,33,5.0,2.0,QoS Internet Kankan T1 2025
CELCOM,KAN,10.4,-9.3,INTERNET,2025-03-23T14:05:00Z,9.0,2.6,109.9,46.0,114.1,35,6.0,1.9,QoS Internet Kankan T1 2025
CELCOM,KAN,10.4,-9.3,INTERNET,2025-02-07T21:12:00Z,8.3,2.8,101.7,36.6,95.7,29,5.6,2.3,QoS Internet Kankan T1 2025
CELCOM,KAN,10.4,-9.3,INTERNET,2025-01-24T10:08:00Z,7.1,2.7,101.0,32.4,98.8,43,7.1,2.1,QoS Internet Kankan T1 2025
CELCOM,KAN,10.4,-9.3,INTERNET,2025-03-01T10:55:00Z,7.0,3.1,111.7,47.5,122.9,34,4.5,2.8,QoS Internet Kankan T1 2025
CELCOM,KAN,10.4,-9.3,INTERNET,2025-01-29T21:59:00Z,6.8,2.8,86.5,27.8,105.2,30,6.0,2.9,QoS Internet Kankan T1 2025
CELCOM,KAN,10.4,-9.3,INTERNET,2025-04-09T09:15:00Z,8.6,3.1,110.9,44.8,114.5,29,5.6,2.9,QoS Internet Kankan T1 2025
CELCOM,KAN,10.4,-9.3,INTERNET,2025-01-25T21:08:00Z,6.8,3.0,103.1,34.8,104.5,42,7.2,1.8,QoS Internet Kankan T1 2025
CELCOM,KAN,10.4,-9.3,INTERNET,2025-01-22T09:49:00Z,8.8,2.9,104.5,27.8,114.1,34,5.5,1.9,QoS Internet Kankan T1 2025
CELCOM,KAN,10.4,-9.3,INTERNET,2025-03-10T11:07:00Z,10.0,2.8,83.6,28.3,75.7,32,6.1,2.1,QoS Internet Kankan T1 2025
CELCOM,KAN,10.3,-9.3,INTERNET,2025-03-24T09:51:00Z,9.5,2.5,80.8,23.8,72.7,34,6.3,2.1,QoS Internet Kankan T1 2025
CELCOM,KAN,10.4,-9.3,INTERNET,2025-02-21T11:38:00Z,8.9,2.5,115.3,34.4,137.2,41,7.0,3.0,QoS Internet Kankan T1 2025
CELCOM,NZE,7.8,-8.8,INTERNET,2025-03-12T15:23:00Z,6.7,2.3,115.7,44.5,127.4,20,9.3,3.7,QoS Internet Nzérékoré T1 2025
CELCOM,NZE,7.7,-8.8,INTERNET,2025-04-04T21:17:00Z,7.2,2.3,117.8,42.3,110.0,31,8.9,2.4,QoS Internet Nzérékoré T1 2025
CELCOM,NZE,7.8,-8.8,INTERNET,2025-02-14T21:41:00Z,5.1,2.6,115.9,42.4,117.3,34,6.1,4.0,QoS Internet Nzérékoré T1 2025
CELCOM,NZE,7.8,-8.8,INTERNET,2025-03-05T21:01:00Z,5.2,2.0,111.0,37.5,100.2,24,7.9,3.0,QoS Internet Nzérékoré T1 2025
CELCOM,NZE,7.8,-8.8,INTERNET,2025-01-18T16:59:00Z,6.9,2.0,102.1,39.8,117.8,33,8.9,4.2,QoS Internet Nzérékoré T1 2025
CELCOM,NZE,7.7,-8.8,INTERNET,2025-01-22T10:35:00Z,6.7,2.6,153.7,52.8,174.0,28,7.9,2.7,QoS Internet Nzérékoré T1 2025
CELCOM,NZE,7.8,-8.8,INTERNET,2025-03-04T21:47:00Z,7.3,2.1,139.2,43.2,183.7,31,7.0,3.5,QoS Internet Nzérékoré T1 2025
CELCOM,NZE,7.7,-8.8,INTERNET,2025-01-19T15:23:00Z,6.7,2.5,101.2,32.0,118.5,32,9.1,3.2,QoS Internet Nzérékoré T1 2025
CELCOM,NZE,7.7,-8.8,INTERNET,2025-01-17T21:00:00Z,6.3,2.6,112.9,30.8,146.0,23,8.2,3.0,QoS Internet Nzérékoré T1 2025
CELCOM,FAR,10.0,-10.8,INTERNET,2025-01-23T21:11:00Z,3.8,1.5,170.1,49.8,214.9,20,10.1,5.5,QoS Internet Faranah T1 2025
CELCOM,FAR,10.0,-10.8,INTERNET,2025-02-07T21:37:00Z,3.7,1.8,235.2,101.9,208.6,24,13.7,5.1,QoS Internet Faranah T1 2025
CELCOM,FAR,10.0,-10.8,INTERNET,2025-01-20T14:22:00Z,3.6,1.2,168.2,60.9,209.4,21,9.2,4.8,QoS Internet Faranah T1 2025
CELCOM,FAR,10.0,-10.8,INTERNET,2025-02-20T11:01:00Z,3.9,1.4,206.3,71.1,269.9,20,9.7,3.6,QoS Internet Faranah T1 2025
CELCOM,FAR,10.0,-10.8,INTERNET,2025-02-03T09:06:00Z,4.2,1.7,194.0,70.7,200.1,13,13.6,3.6,QoS Internet Faranah T1 2025
CELCOM,FAR,10.1,-10.7,INTERNET,2025-02-03T20:48:00Z,3.5,1.8,169.9,59.6,192.5,19,11.2,5.7,QoS Internet Faranah T1 2025
CELCOM,MAM,10.5,-12.1,INTERNET,2025-03-23T09:38:00Z,4.8,1.6,190.2,59.7,187.8,17,11.3,3.9,QoS Internet Mamou T1 2025
CELCOM,MAM,10.5,-12.1,INTERNET,2025-03-14T16:47:00Z,4.8,2.1,159.1,44.0,179.2,14,9.3,4.2,QoS Internet Mamou T1 2025
CELCOM,MAM,10.5,-12.1,INTERNET,2025-02-13T21:50:00Z,5.5,1.5,168.5,67.1,178.5,22,8.2,3.7,QoS Internet Mamou T1 2025
CELCOM,MAM,10.5,-12.1,INTERNET,2025-02-20T16:20:00Z,4.9,1.5,165.3,68.9,159.9,16,9.8,3.4,QoS Internet Mamou T1 2025
CELCOM,MAM,10.5,-12.1,INTERNET,2025-03-09T15:48:00Z,5.4,1.5,131.7,44.5,155.9,29,8.2,5.2,QoS Internet Mamou T1 2025
CELCOM,MAM,10.5,-12.1,INTERNET,2025-03-05T20:22:00Z,4.4,1.6,153.8,62.6,158.1,23,8.0,4.9,QoS Internet Mamou T1 2025
CELCOM,MAM,10.5,-12.1,INTERNET,2025-01-24T16:28:00Z,5.4,1.7,184.5,71.0,221.9,25,10.4,5.1,QoS Internet Mamou T1 2025
