operateur,region,latitude,longitude,typeMesure,timestamp,debitDownload,debitUpload,ping,dnsLookupTime,tcpConnectTime,scoreQoE,pageLoadTime,videoBuffering,campagne
INTERCEL,CON,10.0,-12.8,INTERNET,2025-09-06T15:26:00Z,7.2,2.8,86.1,23.7,94.7,37,3.1,1.7,QoS Internet Conakry T3 2025
INTERCEL,CON,10.1,-12.9,INTERNET,2025-07-16T15:11:00Z,6.1,2.9,95.8,37.8,104.2,47,4.6,1.5,QoS Internet Conakry T3 2025
INTERCEL,CON,10.0,-12.8,INTERNET,2025-09-22T11:09:00Z,8.5,3.0,78.2,27.2,69.7,52,3.7,1.1,QoS Internet Conakry T3 2025
INTERCEL,CON,10.0,-12.9,INTERNET,2025-10-01T11:49:00Z,8.0,2.9,74.4,22.6,96.6,45,3.7,1.7,QoS Internet Conakry T3 2025
INTERCEL,CON,10.1,-12.8,INTERNET,2025-07-21T16:46:00Z,8.6,2.9,77.3,33.1,82.0,47,4.5,1.6,QoS Internet Conakry T3 2025
INTERCEL,CON,10.1,-12.8,INTERNET,2025-08-29T15:43:00Z,7.9,3.2,75.3,29.8,96.9,38,3.9,1.5,QoS Internet Conakry T3 2025
INTERCEL,CON,10.1,-12.8,INTERNET,2025-07-14T09:59:00Z,8.1,3.1,101.3,39.9,122.4,42,3.1,1.2,QoS Internet Conakry T3 2025
INTERCEL,CON,10.0,-12.9,INTERNET,2025-09-13T09:06:00Z,7.5,3.0,81.8,30.0,100.9,40,3.8,1.2,QoS Internet Conakry T3 2025
INTERCEL,CON,10.1,-12.9,INTERNET,2025-08-04T21:34:00Z,8.7,2.6,97.1,38.8,98.1,48,3.3,1.4,QoS Internet Conakry T3 2025
INTERCEL,CON,10.1,-12.9,INTERNET,2025-08-15T21:28:00Z,8.8,2.4,84.0,35.2,79.4,49,4.6,1.6,QoS Internet Conakry T3 2025
INTERCEL,CON,10.1,-12.8,INTERNET,2025-07-29T10:39:00Z,6.4,2.7,73.8,30.8,81.1,41,3.4,1.5,QoS Internet Conakry T3 2025
INTERCEL,CON,10.1,-12.8,INTERNET,2025-07-29T10:38:00Z,7.8,2.5,71.0,23.8,82.0,50,4.1,1.6,QoS Internet Conakry T3 2025
INTERCEL,CON,10.1,-12.9,INTERNET,2025-09-22T10:17:00Z,7.2,3.3,81.4,21.6,90.7,48,3.5,1.3,QoS Internet Conakry T3 2025
INTERCEL,CON,10.1,-12.9,INTERNET,2025-09-17T10:28:00Z,8.0,2.6,79.7,29.5,92.8,45,3.8,1.9,QoS Internet Conakry T3 2025
INTERCEL,CON,10.1,-12.8,INTERNET,2025-09-10T16:57:00Z,6.2,2.3,89.7,31.9,116.8,40,4.4,1.7,QoS Internet Conakry T3 2025
INTERCEL,CON,10.1,-12.9,INTERNET,2025-08-26T10:58:00Z,6.8,2.6,75.5,26.1,75.7,43,3.2,1.3,QoS Internet Conakry T3 2025
INTERCEL,KIN,10.0,-12.3,INTERNET,2025-09-10T15:32:00Z,6.0,1.6,140.2,52.0,180.6,35,6.3,2.3,QoS Internet Kindia T3 2025
INTERCEL,KIN,10.1,-12.3,INTERNET,2025-08-24T21:37:00Z,6.1,1.6,104.5,38.3,121.4,23,4.2,2.5,QoS Internet Kindia T3 2025
INTERCEL,KIN,10.1,-12.3,INTERNET,2025-08-17T15:22:00Z,4.9,2.0,109.6,35.0,123.8,32,4.8,2.9,QoS Internet Kindia T3 2025
INTERCEL,KIN,10.1,-12.3,INTERNET,2025-08-14T20:08:00Z,5.1,2.3,104.5,31.7,135.1,37,6.2,2.7,QoS Internet Kindia T3 2025
INTERCEL,KIN,10.0,-12.3,INTERNET,2025-08-20T14:12:00Z,5.9,1.8,144.8,46.0,185.2,32,5.5,2.4,QoS Internet Kindia T3 2025
INTERCEL,KIN,10.1,-12.3,INTERNET,2025-07-28T11:46:00Z,6.0,2.0,124.3,49.2,127.2,30,5.8,2.4,QoS Internet Kindia T3 2025
INTERCEL,KIN,10.1,-12.3,INTERNET,2025-09-06T14:29:00Z,4.2,2.3,118.8,43.3,147.0,35,6.4,2.8,QoS Internet Kindia T3 2025
INTERCEL,KIN,10.0,-12.3,INTERNET,2025-08-29T09:36:00Z,5.1,2.2,144.0,62.4,176.8,35,5.9,2.0,QoS Internet Kindia T3 2025
INTERCEL,KIN,10.1,-12.3,INTERNET,2025-08-23T09:28:00Z,4.4,2.0,146.3,63.7,178.5,23,4.3,2.9,QoS Internet Kindia T3 2025
INTERCEL,KIN,10.0,-12.3,INTERNET,2025-09-24T14:45:00Z,5.0,1.7,122.0,39.4,128.1,23,5.8,2.6,QoS Internet Kindia T3 2025
INTERCEL,KIN,10.0,-12.3,INTERNET,2025-08-21T20:31:00Z,4.8,2.0,139.2,59.9,180.4,30,4.8,2.5,QoS Internet Kindia T3 2025
INTERCEL,BOK,11.1,-14.2,INTERNET,2025-09-16T10:45:00Z,2.7,0.9,206.7,72.6,227.4,7,10.7,4.4,QoS Internet Boké T3 2025
INTERCEL,BOK,11.0,-14.2,INTERNET,2025-08-02T09:23:00Z,2.5,0.9,252.8,76.0,291.3,12,13.2,5.7,QoS Internet Boké T3 2025
INTERCEL,BOK,11.1,-14.2,INTERNET,2025-07-11T16:05:00Z,2.3,0.9,223.6,89.2,249.4,11,11.9,5.2,QoS Internet Boké T3 2025
INTERCEL,BOK,11.1,-14.2,INTERNET,2025-07-11T11:30:00Z,2.2,0.9,303.2,109.1,287.6,11,14.4,5.2,QoS Internet Boké T3 2025
INTERCEL,BOK,11.0,-14.2,INTERNET,2025-08-16T10:14:00Z,1.9,1.0,281.6,101.8,350.5,15,11.8,3.6,QoS Internet Boké T3 2025
INTERCEL,BOK,11.1,-14.2,INTERNET,2025-09-17T15:43:00Z,2.7,1.0,290.1,123.3,309.3,9,11.9,4.8,QoS Internet Boké T3 2025
INTERCEL,LAB,11.4,-12.5,INTERNET,2025-10-01T20:02:00Z,2.8,1.3,213.9,73.0,211.2,25,10.7,3.5,QoS Internet Labé T3 2025
INTERCEL,LAB,11.4,-12.5,INTERNET,2025-07-08T16:47:00Z,2.9,1.3,174.2,75.5,175.8,13,10.2,4.7,QoS Internet Labé T3 2025
INTERCEL,LAB,11.4,-12.5,INTERNET,2025-09-14T10:01:00Z,3.4,1.1,176.1,56.8,194.0,22,10.7,4.3,QoS Internet Labé T3 2025
