operateur,region,latitude,longitude,typeMesure,timestamp,debitDownload,debitUpload,ping,dnsLookupTime,tcpConnectTime,scoreQoE,pageLoadTime,videoBuffering,campagne
MTN,CON,10.1,-12.8,INTERNET,2025-12-08T15:28:00Z,22.3,7.1,37.5,14.5,33.3,68,4.3,1.2,QoS Internet Conakry T4 2025
MTN,CON,10.1,-12.8,INTERNET,2025-12-11T16:10:00Z,24.0,8.5,38.6,15.5,49.2,68,3.9,1.4,QoS Internet Conakry T4 2025
MTN,CON,10.1,-12.9,INTERNET,2025-11-30T09:52:00Z,18.0,6.5,50.2,16.9,51.2,80,3.4,1.7,QoS Internet Conakry T4 2025
MTN,CON,10.1,-12.9,INTERNET,2025-11-18T11:47:00Z,22.5,8.8,36.8,14.9,36.4,76,2.7,1.6,QoS Internet Conakry T4 2025
MTN,CON,10.1,-12.9,INTERNET,2025-11-16T16:01:00Z,22.4,7.0,49.1,14.6,48.7,81,4.4,1.6,QoS Internet Conakry T4 2025
MTN,CON,10.1,-12.9,INTERNET,2025-10-12T10:16:00Z,26.4,6.8,45.9,18.4,60.3,69,3.6,1.9,QoS Internet Conakry T4 2025
MTN,CON,10.1,-12.8,INTERNET,2025-10-19T16:42:00Z,17.7,9.3,47.5,13.3,42.7,70,3.5,1.5,QoS Internet Conakry T4 2025
MTN,CON,10.1,-12.9,INTERNET,2025-12-03T09:04:00Z,24.3,9.0,49.6,15.1,65.4,79,2.7,1.6,QoS Internet Conakry T4 2025
MTN,CON,10.1,-12.8,INTERNET,2025-10-29T15:22:00Z,19.4,8.9,43.1,12.1,50.3,78,3.9,1.2,QoS Internet Conakry T4 2025
MTN,CON,10.1,-12.8,INTERNET,2025-11-23T09:29:00Z,22.2,6.8,47.9,17.6,59.6,67,3.9,1.1,QoS Internet Conakry T4 2025
MTN,CON,10.1,-12.8,INTERNET,2025-12-14T20:28:00Z,17.6,8.9,36.3,14.3,39.7,80,3.7,1.9,QoS Internet Conakry T4 2025
MTN,CON,10.0,-12.9,INTERNET,2025-11-28T09:41:00Z,19.4,9.6,34.0,10.0,33.7,70,4.4,1.7,QoS Internet Conakry T4 2025
MTN,CON,10.0,-12.9,INTERNET,2025-10-21T20:47:00Z,21.4,8.7,44.6,15.7,54.3,78,2.9,1.7,QoS Internet Conakry T4 2025
MTN,CON,10.1,-12.8,INTERNET,2026-01-01T14:26:00Z,21.5,6.9,41.1,13.4,45.1,69,4.0,1.1,QoS Internet Conakry T4 2025
MTN,CON,10.1,-12.8,INTERNET,2025-11-29T09:05:00Z,18.4,7.6,33.2,12.9,30.1,77,2.9,1.4,QoS Internet Conakry T4 2025
MTN,CON,10.1,-12.8,INTERNET,2025-12-14T14:57:00Z,22.9,9.3,48.1,16.4,47.6,79,3.6,1.5,QoS Internet Conakry T4 2025
MTN,CON,10.0,-12.8,INTERNET,2025-11-27T16:16:00Z,25.9,7.9,35.0,11.3,44.4,73,3.8,1.1,QoS Internet Conakry T4 2025
MTN,CON,10.1,-12.9,INTERNET,2025-10-26T11:26:00Z,23.3,7.8,39.1,14.2,50.1,72,3.3,1.2,QoS Internet Conakry T4 2025
MTN,CON,10.1,-12.8,INTERNET,2025-11-26T15:21:00Z,19.7,7.4,44.5,15.7,58.5,75,3.7,1.4,QoS Internet Conakry T4 2025
MTN,CON,10.1,-12.8,INTERNET,2025-11-24T16:15:00Z,25.9,7.0,33.7,12.3,36.2,71,4.2,1.5,QoS Internet Conakry T4 2025
MTN,CON,10.1,-12.9,INTERNET,2025-11-29T16:32:00Z,23.0,9.5,45.8,19.8,41.7,75,3.8,1.4,QoS Internet Conakry T4 2025
MTN,CON,10.1,-12.8,INTERNET,2025-12-26T11:53:00Z,19.7,8.1,49.5,14.3,62.5,73,4.1,1.4,QoS Internet Conakry T4 2025
MTN,CON,10.1,-12.9,INTERNET,2025-12-15T14:17:00Z,19.9,6.5,48.0,17.8,56.2,80,3.0,1.3,QoS Internet Conakry T4 2025
MTN,CON,10.1,-12.8,INTERNET,2025-11-13T11:51:00Z,25.5,8.9,47.9,17.1,42.3,77,3.5,1.4,QoS Internet Conakry T4 2025
MTN,CON,10.1,-12.8,INTERNET,2025-12-29T09:34:00Z,25.4,9.1,50.1,14.7,47.7,73,3.4,1.2,QoS Internet Conakry T4 2025
MTN,CON,10.1,-12.9,INTERNET,2025-12-06T21:12:00Z,18.3,9.2,35.0,14.6,33.2,77,3.0,1.9,QoS Internet Conakry T4 2025
MTN,CON,10.1,-12.9,INTERNET,2025-10-20T14:47:00Z,18.2,6.5,44.6,13.4,40.7,77,2.8,1.4,QoS Internet Conakry T4 2025
MTN,KIN,10.0,-12.3,INTERNET,2025-10-25T20:10:00Z,14.8,6.1,60.6,22.0,72.9,51,6.1,1.7,QoS Internet Kindia T4 2025
MTN,KIN,10.0,-12.3,INTERNET,2025-10-19T11:11:00Z,16.2,4.9,53.6,17.9,70.2,58,4.8,1.6,QoS Internet Kindia T4 2025
MTN,KIN,10.1,-12.3,INTERNET,2025-12-07T10:25:00Z,14.0,6.0,56.3,20.8,57.8,52,5.5,1.7,QoS Internet Kindia T4 2025
MTN,KIN,10.1,-12.3,INTERNET,2025-11-19T11:38:00Z,12.5,5.9,54.5,15.0,66.6,47,4.6,1.7,QoS Internet Kindia T4 2025
MTN,KIN,10.1,-12.3,INTERNET,2025-11-15T21:53:00Z,18.3,5.3,55.1,24.0,69.3,59,5.1,2.6,QoS Internet Kindia T4 2025
MTN,KIN,10.0,-12.3,INTERNET,2025-11-21T10:28:00Z,12.3,6.3,58.3,20.1,62.3,54,4.2,2.6,QoS Internet Kindia T4 2025
MTN,KIN,10.1,-12.3,INTERNET,2025-11-05T10:50:00Z,14.2,5.0,52.0,17.3,52.5,49,6.2,2.6,QoS Internet Kindia T4 2025
MTN,KIN,10.1,-12.3,INTERNET,2025-11-25T14:15:00Z,16.8,4.9,66.1,17.7,62.8,59,5.5,2.1,QoS Internet Kindia T4 2025
MTN,KIN,10.1,-12.3,INTERNET,2025-12-25T10:18:00Z,14.5,5.8,69.3,23.6,62.3,45,5.8,1.5,QoS Internet Kindia T4 2025
MTN,KIN,10.1,-12.3,INTERNET,2025-12-03T11:23:00Z,12.7,5.1,71.2,22.8,74.3,56,5.9,2.5,QoS Internet Kindia T4 2025
MTN,KIN,10.1,-12.3,INTERNET,2025-12-09T14:27:00Z,16.2,6.3,72.8,23.1,74.0,53,5.9,1.5,QoS Internet Kindia T4 2025
MTN,KIN,10.0,-12.3,INTERNET,2025-11-30T14:48:00Z,15.1,4.9,50.5,13.5,62.7,56,4.4,2.6,QoS Internet Kindia T4 2025
MTN,KIN,10.1,-12.3,INTERNET,2025-12-23T15:09:00Z,17.0,4.7,68.7,21.2,68.4,47,5.7,2.3,QoS Internet Kindia T4 2025
MTN,KIN,10.1,-12.3,INTERNET,2025-10-16T20:38:00Z,13.4,5.8,66.3,23.2,62.3,45,4.1,1.5,QoS Internet Kindia T4 2025
MTN,KIN,10.1,-12.3,INTERNET,2025-12-14T11:46:00Z,15.9,6.3,62.5,25.5,56.1,49,3.8,2.4,QoS Internet Kindia T4 2025
MTN,KIN,10.0,-12.3,INTERNET,2025-11-26T16:19:00Z,15.0,6.7,48.4,18.0,50.9,44,4.3,1.9,QoS Internet Kindia T4 2025
MTN,KIN,10.1,-12.3,INTERNET,2025-10-13T09:55:00Z,16.6,6.4,60.5,16.7,71.9,47,5.8,2.7,QoS Internet Kindia T4 2025
MTN,KIN,10.0,-12.3,INTERNET,2025-11-06T14:26:00Z,13.9,4.9,66.2,18.6,84.8,49,5.2,2.3,QoS Internet Kindia T4 2025
MTN,BOK,11.0,-14.2,INTERNET,2026-01-01T11:36:00Z,9.1,3.8,109.4,44.8,144.1,31,9.4,4.0,QoS Internet Boké T4 2025
MTN,BOK,11.0,-14.2,INTERNET,2025-10-18T14:24:00Z,8.5,3.8,108.2,28.7,135.3,27,9.1,3.8,QoS Internet Boké T4 2025
MTN,BOK,11.1,-14.2,INTERNET,2025-11-05T20:01:00Z,10.2,3.8,101.3,35.8,93.9,23,10.5,4.5,QoS Internet Boké T4 2025
MTN,BOK,11.1,-14.2,INTERNET,2025-11-06T20:01:00Z,9.2,3.0,120.9,35.9,120.6,31,7.5,2.8,QoS Internet Boké T4 2025
MTN,BOK,11.1,-14.2,INTERNET,2025-12-23T20:02:00Z,8.2,3.6,127.4,51.1,132.2,24,9.9,4.8,QoS Internet Boké T4 2025
